Periodo,Categoría,Residencia viajero,DATA
2018M04,1 Llave,No residentes en Espańa,488.37
2018M04,"2, 3 y 4 Llaves",TOTAL,702.34
2018M04,"2, 3 y 4 Llaves",Residentes en Espańa,702.34
2018M04,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M05,TOTAL,TOTAL,6794.59
2018M05,TOTAL,Residentes en Espańa,5908.44
2018M05,TOTAL,No residentes en Espańa,886.15
2018M05,1 Llave,TOTAL,6428.55
2018M05,1 Llave,Residentes en Espańa,5542.41
2018M05,1 Llave,No residentes en Espańa,886.15
2018M05,"2, 3 y 4 Llaves",TOTAL,366.03
2018M05,"2, 3 y 4 Llaves",Residentes en Espańa,366.03
2018M05,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M06,TOTAL,TOTAL,8404.38
2018M06,TOTAL,Residentes en Espańa,7723.09
2018M06,TOTAL,No residentes en Espańa,681.28
2018M06,1 Llave,TOTAL,7658.82
2018M06,1 Llave,Residentes en Espańa,7067.72
2018M06,1 Llave,No residentes en Espańa,591.09
2018M06,"2, 3 y 4 Llaves",TOTAL,745.56
2018M06,"2, 3 y 4 Llaves",Residentes en Espańa,655.37
2018M06,"2, 3 y 4 Llaves",No residentes en Espańa,90.19
2018M07,TOTAL,TOTAL,11243.6
2018M07,TOTAL,Residentes en Espańa,10283.44
2018M07,TOTAL,No residentes en Espańa,960.16
2018M07,1 Llave,TOTAL,10443.09
2018M07,1 Llave,Residentes en Espańa,9482.92
2018M07,1 Llave,No residentes en Espańa,960.16
2018M07,"2, 3 y 4 Llaves",TOTAL,800.51
2018M07,"2, 3 y 4 Llaves",Residentes en Espańa,800.51
2018M07,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M08,TOTAL,TOTAL,15182.66
2018M08,TOTAL,Residentes en Espańa,13687.25
2018M08,TOTAL,No residentes en Espańa,1495.41
2018M08,1 Llave,TOTAL,13689.39
2018M08,1 Llave,Residentes en Espańa,12461.43
2018M08,1 Llave,No residentes en Espańa,1227.96
2018M08,"2, 3 y 4 Llaves",TOTAL,1493.27
2018M08,"2, 3 y 4 Llaves",Residentes en Espańa,1225.82
2018M08,"2, 3 y 4 Llaves",No residentes en Espańa,267.45
2018M09,TOTAL,TOTAL,8578.76
2018M09,TOTAL,Residentes en Espańa,7511.04
2018M09,TOTAL,No residentes en Espańa,1067.72
2018M09,1 Llave,TOTAL,7939.58
2018M09,1 Llave,Residentes en Espańa,6998.43
2018M09,1 Llave,No residentes en Espańa,941.15
2018M09,"2, 3 y 4 Llaves",TOTAL,639.18
2018M09,"2, 3 y 4 Llaves",Residentes en Espańa,512.61
2018M09,"2, 3 y 4 Llaves",No residentes en Espańa,126.57
2018M10,TOTAL,TOTAL,8846.03
2018M10,TOTAL,Residentes en Espańa,8072.32
2018M10,TOTAL,No residentes en Espańa,773.71
2018M10,1 Llave,TOTAL,7969.44
2018M10,1 Llave,Residentes en Espańa,7195.74
2018M10,1 Llave,No residentes en Espańa,773.71
2018M10,"2, 3 y 4 Llaves",TOTAL,876.58
