Periodo,CCAA de residencia,Medida,DATA
2016M07,Melilla,Pernoctaciones,69.75
2016M07,Ceuta,Viajeros,
2016M07,Ceuta,Pernoctaciones,
2016M08,TOTAL,Viajeros,5994.39
2016M08,TOTAL,Pernoctaciones,19998.17
2016M08,NO RESIDENTE EN ESPAŃA,Viajeros,735.8
2016M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1453.02
2016M08,RESIDENTES EN ESPAŃA,Viajeros,5258.59
2016M08,RESIDENTES EN ESPAŃA,Pernoctaciones,18545.15
2016M08,Andalucía,Viajeros,243.44
2016M08,Andalucía,Pernoctaciones,1302.52
2016M08,Aragón,Viajeros,151.51
2016M08,Aragón,Pernoctaciones,681.79
2016M08,"Asturias, Principado de",Viajeros,53.8
2016M08,"Asturias, Principado de",Pernoctaciones,184.47
2016M08,Cantabria,Viajeros,63.44
2016M08,Cantabria,Pernoctaciones,136.56
2016M08,Castilla y León,Viajeros,276.33
2016M08,Castilla y León,Pernoctaciones,519.57
2016M08,Castilla - La Mancha,Viajeros,148.76
2016M08,Castilla - La Mancha,Pernoctaciones,349.91
2016M08,Cataluńa,Viajeros,1071.19
2016M08,Cataluńa,Pernoctaciones,3619.82
2016M08,Comunitat Valenciana,Viajeros,447.32
2016M08,Comunitat Valenciana,Pernoctaciones,2128.75
2016M08,Extremadura,Viajeros,14.41
2016M08,Extremadura,Pernoctaciones,86.47
2016M08,Galicia,Viajeros,95.28
2016M08,Galicia,Pernoctaciones,126.02
2016M08,"Madrid, Comunidad de",Viajeros,1288.23
2016M08,"Madrid, Comunidad de",Pernoctaciones,3994.06
2016M08,"Navarra, Comunidad Foral de",Viajeros,98.06
2016M08,"Navarra, Comunidad Foral de",Pernoctaciones,177.87
2016M08,País Vasco,Viajeros,1127.87
2016M08,País Vasco,Pernoctaciones,4567.12
2016M08,"Rioja, La",Viajeros,59.58
2016M08,"Rioja, La",Pernoctaciones,234.46
2016M08,"Balears, Illes",Viajeros,
2016M08,"Balears, Illes",Pernoctaciones,
2016M08,"Murcia, Región de",Viajeros,80.86
2016M08,"Murcia, Región de",Pernoctaciones,335.79
2016M08,Canarias,Viajeros,38.49
2016M08,Canarias,Pernoctaciones,99.98
2016M08,Melilla,Viajeros,
2016M08,Melilla,Pernoctaciones,
2016M08,Ceuta,Viajeros,
2016M08,Ceuta,Pernoctaciones,
2016M09,TOTAL,Viajeros,5420.68
2016M09,TOTAL,Pernoctaciones,11089.29
2016M09,NO RESIDENTE EN ESPAŃA,Viajeros,1304.71
2016M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2280.37
2016M09,RESIDENTES EN ESPAŃA,Viajeros,4115.97
2016M09,RESIDENTES EN ESPAŃA,Pernoctaciones,8808.92
2016M09,Andalucía,Viajeros,95.66
2016M09,Andalucía,Pernoctaciones,119.66
2016M09,Aragón,Viajeros,266.27
2016M09,Aragón,Pernoctaciones,397.76
2016M09,"Asturias, Principado de",Viajeros,81.12
2016M09,"Asturias, Principado de",Pernoctaciones,137.32
2016M09,Cantabria,Viajeros,45.83
2016M09,Cantabria,Pernoctaciones,57.83
2016M09,Castilla y León,Viajeros,400.51
2016M09,Castilla y León,Pernoctaciones,803.19
2016M09,Castilla - La Mancha,Viajeros,235.73
2016M09,Castilla - La Mancha,Pernoctaciones,397.97
2016M09,Cataluńa,Viajeros,351.39
2016M09,Cataluńa,Pernoctaciones,635.63
2016M09,Comunitat Valenciana,Viajeros,279.36
2016M09,Comunitat Valenciana,Pernoctaciones,1021.39
2016M09,Extremadura,Viajeros,18.92
2016M09,Extremadura,Pernoctaciones,37.83
2016M09,Galicia,Viajeros,81.66
2016M09,Galicia,Pernoctaciones,165.49
2016M09,"Madrid, Comunidad de",Viajeros,991.25
2016M09,"Madrid, Comunidad de",Pernoctaciones,2300.24
2016M09,"Navarra, Comunidad Foral de",Viajeros,97.49
2016M09,"Navarra, Comunidad Foral de",Pernoctaciones,276.47
2016M09,País Vasco,Viajeros,1032.92
2016M09,País Vasco,Pernoctaciones,2063.46
2016M09,"Rioja, La",Viajeros,79.12
2016M09,"Rioja, La",Pernoctaciones,243.19
2016M09,"Balears, Illes",Viajeros,14.92
2016M09,"Balears, Illes",Pernoctaciones,29.83
2016M09,"Murcia, Región de",Viajeros,28.92
2016M09,"Murcia, Región de",Pernoctaciones,82.75
2016M09,Canarias,Viajeros,14.92
2016M09,Canarias,Pernoctaciones,38.92
2016M09,Melilla,Viajeros,
2016M09,Melilla,Pernoctaciones,
2016M09,Ceuta,Viajeros,
2016M09,Ceuta,Pernoctaciones,
2016M10,TOTAL,Viajeros,5900.67
2016M10,TOTAL,Pernoctaciones,12820.43
2016M10,NO RESIDENTE EN ESPAŃA,Viajeros,309.4
2016M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,503.2
2016M10,RESIDENTES EN ESPAŃA,Viajeros,5591.27
2016M10,RESIDENTES EN ESPAŃA,Pernoctaciones,12317.22
2016M10,Andalucía,Viajeros,78.21
2016M10,Andalucía,Pernoctaciones,169.81
2016M10,Aragón,Viajeros,149.56
2016M10,Aragón,Pernoctaciones,406.39
2016M10,"Asturias, Principado de",Viajeros,27.04
2016M10,"Asturias, Principado de",Pernoctaciones,80.15
2016M10,Cantabria,Viajeros,125.25
2016M10,Cantabria,Pernoctaciones,175.36
2016M10,Castilla y León,Viajeros,299.38
2016M10,Castilla y León,Pernoctaciones,622.39
2016M10,Castilla - La Mancha,Viajeros,80.96
2016M10,Castilla - La Mancha,Pernoctaciones,269.85
2016M10,Cataluńa,Viajeros,416.64
2016M10,Cataluńa,Pernoctaciones,892.74
2016M10,Comunitat Valenciana,Viajeros,227.62
2016M10,Comunitat Valenciana,Pernoctaciones,633
2016M10,Extremadura,Viajeros,
2016M10,Extremadura,Pernoctaciones,
2016M10,Galicia,Viajeros,29.86
2016M10,Galicia,Pernoctaciones,88.62
2016M10,"Madrid, Comunidad de",Viajeros,2363.45
2016M10,"Madrid, Comunidad de",Pernoctaciones,4683.78
2016M10,"Navarra, Comunidad Foral de",Viajeros,289.55
2016M10,"Navarra, Comunidad Foral de",Pernoctaciones,509.75
2016M10,País Vasco,Viajeros,1349.93
2016M10,País Vasco,Pernoctaciones,3606.38
2016M10,"Rioja, La",Viajeros,146.07
2016M10,"Rioja, La",Pernoctaciones,155.75
2016M10,"Balears, Illes",Viajeros,3.88
2016M10,"Balears, Illes",Pernoctaciones,7.75
2016M10,"Murcia, Región de",Viajeros,3.88
2016M10,"Murcia, Región de",Pernoctaciones,15.5
2016M10,Canarias,Viajeros,
2016M10,Canarias,Pernoctaciones,
2016M10,Melilla,Viajeros,
2016M10,Melilla,Pernoctaciones,
2016M10,Ceuta,Viajeros,
2016M10,Ceuta,Pernoctaciones,
2016M11,TOTAL,Viajeros,3679.38
2016M11,TOTAL,Pernoctaciones,6793.62
2016M11,NO RESIDENTE EN ESPAŃA,Viajeros,240
2016M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,505.5
2016M11,RESIDENTES EN ESPAŃA,Viajeros,3439.38
2016M11,RESIDENTES EN ESPAŃA,Pernoctaciones,6288.12
2016M11,Andalucía,Viajeros,22.5
2016M11,Andalucía,Pernoctaciones,53
2016M11,Aragón,Viajeros,208.75
2016M11,Aragón,Pernoctaciones,372.5
2016M11,"Asturias, Principado de",Viajeros,16
2016M11,"Asturias, Principado de",Pernoctaciones,32
2016M11,Cantabria,Viajeros,57
2016M11,Cantabria,Pernoctaciones,79.5
2016M11,Castilla y León,Viajeros,267.5
2016M11,Castilla y León,Pernoctaciones,506
2016M11,Castilla - La Mancha,Viajeros,24
2016M11,Castilla - La Mancha,Pernoctaciones,52
2016M11,Cataluńa,Viajeros,296.5
2016M11,Cataluńa,Pernoctaciones,591.5
2016M11,Comunitat Valenciana,Viajeros,44.25
2016M11,Comunitat Valenciana,Pernoctaciones,165
2016M11,Extremadura,Viajeros,10
2016M11,Extremadura,Pernoctaciones,10
2016M11,Galicia,Viajeros,45
2016M11,Galicia,Pernoctaciones,82
2016M11,"Madrid, Comunidad de",Viajeros,1488.5
2016M11,"Madrid, Comunidad de",Pernoctaciones,2600.5
2016M11,"Navarra, Comunidad Foral de",Viajeros,57.5
