Periodo,Categoría,Grado de ocupación,DATA
2016M09,3 estrellas,grado de ocupación de plazas de fin de semana,75.3
2016M09,3 estrellas,grado de ocupación por habitaciones,75.42
2016M09,1 y 2 estrellas,grado de ocupación por plazas,34.85
2016M09,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,54.39
2016M09,1 y 2 estrellas,grado de ocupación por habitaciones,37.21
2016M09,Hostales y pensiones,grado de ocupación por plazas,34.52
2016M09,Hostales y pensiones,grado de ocupación de plazas de fin de semana,50.34
2016M09,Hostales y pensiones,grado de ocupación por habitaciones,41.41
2016M10,TOTAL,grado de ocupación por plazas,54.77
2016M10,TOTAL,grado de ocupación de plazas de fin de semana,73.67
2016M10,TOTAL,grado de ocupación por habitaciones,62.63
2016M10,4 y 5 estrellas,grado de ocupación por plazas,69.57
2016M10,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,88.83
2016M10,4 y 5 estrellas,grado de ocupación por habitaciones,79.29
2016M10,3 estrellas,grado de ocupación por plazas,63.89
2016M10,3 estrellas,grado de ocupación de plazas de fin de semana,83.32
2016M10,3 estrellas,grado de ocupación por habitaciones,72.91
2016M10,1 y 2 estrellas,grado de ocupación por plazas,32.16
2016M10,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,50.46
2016M10,1 y 2 estrellas,grado de ocupación por habitaciones,34.48
2016M10,Hostales y pensiones,grado de ocupación por plazas,33.58
2016M10,Hostales y pensiones,grado de ocupación de plazas de fin de semana,51.48
2016M10,Hostales y pensiones,grado de ocupación por habitaciones,40.79
2016M11,TOTAL,grado de ocupación por plazas,38.1
2016M11,TOTAL,grado de ocupación de plazas de fin de semana,61.21
2016M11,TOTAL,grado de ocupación por habitaciones,47.13
2016M11,4 y 5 estrellas,grado de ocupación por plazas,49.71
2016M11,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,83.3
2016M11,4 y 5 estrellas,grado de ocupación por habitaciones,60.55
2016M11,3 estrellas,grado de ocupación por plazas,44.41
2016M11,3 estrellas,grado de ocupación de plazas de fin de semana,66.62
2016M11,3 estrellas,grado de ocupación por habitaciones,55.36
2016M11,1 y 2 estrellas,grado de ocupación por plazas,22.11
2016M11,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,43.66
2016M11,1 y 2 estrellas,grado de ocupación por habitaciones,24.7
2016M11,Hostales y pensiones,grado de ocupación por plazas,21.96
2016M11,Hostales y pensiones,grado de ocupación de plazas de fin de semana,37.85
2016M11,Hostales y pensiones,grado de ocupación por habitaciones,28.88
2016M12,TOTAL,grado de ocupación por plazas,38.74
2016M12,TOTAL,grado de ocupación de plazas de fin de semana,45.15
2016M12,TOTAL,grado de ocupación por habitaciones,42.63
2016M12,4 y 5 estrellas,grado de ocupación por plazas,47.24
2016M12,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,48.75
2016M12,4 y 5 estrellas,grado de ocupación por habitaciones,50.12
2016M12,3 estrellas,grado de ocupación por plazas,41.18
2016M12,3 estrellas,grado de ocupación de plazas de fin de semana,52.03
2016M12,3 estrellas,grado de ocupación por habitaciones,46.26
2016M12,1 y 2 estrellas,grado de ocupación por plazas,18.24
2016M12,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,25.69
2016M12,1 y 2 estrellas,grado de ocupación por habitaciones,20.54
2016M12,Hostales y pensiones,grado de ocupación por plazas,30.94
2016M12,Hostales y pensiones,grado de ocupación de plazas de fin de semana,34.14
2016M12,Hostales y pensiones,grado de ocupación por habitaciones,34.86
2017M01,TOTAL,grado de ocupación por plazas,27.23
2017M01,TOTAL,grado de ocupación de plazas de fin de semana,37.2
2017M01,TOTAL,grado de ocupación por habitaciones,33.86
2017M01,4 y 5 estrellas,grado de ocupación por plazas,37.87
2017M01,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,57.22
2017M01,4 y 5 estrellas,grado de ocupación por habitaciones,45.95
2017M01,3 estrellas,grado de ocupación por plazas,33.27
2017M01,3 estrellas,grado de ocupación de plazas de fin de semana,42
2017M01,3 estrellas,grado de ocupación por habitaciones,41.88
2017M01,1 y 2 estrellas,grado de ocupación por plazas,10.85
2017M01,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,18.57
2017M01,1 y 2 estrellas,grado de ocupación por habitaciones,12.55
