Periodo,Categoría,Estancia media,DATA
2016M07,TOTAL,Estancia media Residentes en Espańa,1.83
2016M07,TOTAL,Estancia media No residentes en Espańa,1.64
2016M07,4 y 5 estrellas,Estancia media,2
2016M07,4 y 5 estrellas,Estancia media Residentes en Espańa,2.06
2016M07,4 y 5 estrellas,Estancia media No residentes en Espańa,1.81
2016M07,3 estrellas,Estancia media,1.64
2016M07,3 estrellas,Estancia media Residentes en Espańa,1.63
2016M07,3 estrellas,Estancia media No residentes en Espańa,1.66
2016M07,1 y 2 estrellas,Estancia media,1.96
2016M07,1 y 2 estrellas,Estancia media Residentes en Espańa,2.01
2016M07,1 y 2 estrellas,Estancia media No residentes en Espańa,1.66
2016M07,Hostales y pensiones,Estancia media,1.87
2016M07,Hostales y pensiones,Estancia media Residentes en Espańa,2.05
2016M07,Hostales y pensiones,Estancia media No residentes en Espańa,1.29
2016M08,TOTAL,Estancia media,1.88
2016M08,TOTAL,Estancia media Residentes en Espańa,1.94
2016M08,TOTAL,Estancia media No residentes en Espańa,1.58
2016M08,4 y 5 estrellas,Estancia media,2.13
2016M08,4 y 5 estrellas,Estancia media Residentes en Espańa,2.18
2016M08,4 y 5 estrellas,Estancia media No residentes en Espańa,1.88
2016M08,3 estrellas,Estancia media,1.74
2016M08,3 estrellas,Estancia media Residentes en Espańa,1.78
2016M08,3 estrellas,Estancia media No residentes en Espańa,1.55
2016M08,1 y 2 estrellas,Estancia media,1.87
2016M08,1 y 2 estrellas,Estancia media Residentes en Espańa,1.87
2016M08,1 y 2 estrellas,Estancia media No residentes en Espańa,1.95
2016M08,Hostales y pensiones,Estancia media,1.93
2016M08,Hostales y pensiones,Estancia media Residentes en Espańa,2.12
2016M08,Hostales y pensiones,Estancia media No residentes en Espańa,1.26
2016M09,TOTAL,Estancia media,1.76
2016M09,TOTAL,Estancia media Residentes en Espańa,1.83
2016M09,TOTAL,Estancia media No residentes en Espańa,1.59
2016M09,4 y 5 estrellas,Estancia media,2.1
2016M09,4 y 5 estrellas,Estancia media Residentes en Espańa,2.15
2016M09,4 y 5 estrellas,Estancia media No residentes en Espańa,1.96
2016M09,3 estrellas,Estancia media,1.7
2016M09,3 estrellas,Estancia media Residentes en Espańa,1.73
2016M09,3 estrellas,Estancia media No residentes en Espańa,1.63
2016M09,1 y 2 estrellas,Estancia media,1.59
2016M09,1 y 2 estrellas,Estancia media Residentes en Espańa,1.63
2016M09,1 y 2 estrellas,Estancia media No residentes en Espańa,1.44
2016M09,Hostales y pensiones,Estancia media,1.54
2016M09,Hostales y pensiones,Estancia media Residentes en Espańa,1.77
2016M09,Hostales y pensiones,Estancia media No residentes en Espańa,1.18
2016M10,TOTAL,Estancia media,1.88
2016M10,TOTAL,Estancia media Residentes en Espańa,1.82
2016M10,TOTAL,Estancia media No residentes en Espańa,2.12
2016M10,4 y 5 estrellas,Estancia media,2.12
2016M10,4 y 5 estrellas,Estancia media Residentes en Espańa,2.02
2016M10,4 y 5 estrellas,Estancia media No residentes en Espańa,2.48
2016M10,3 estrellas,Estancia media,1.87
2016M10,3 estrellas,Estancia media Residentes en Espańa,1.8
2016M10,3 estrellas,Estancia media No residentes en Espańa,2.15
2016M10,1 y 2 estrellas,Estancia media,1.66
2016M10,1 y 2 estrellas,Estancia media Residentes en Espańa,1.63
2016M10,1 y 2 estrellas,Estancia media No residentes en Espańa,1.8
2016M10,Hostales y pensiones,Estancia media,1.66
2016M10,Hostales y pensiones,Estancia media Residentes en Espańa,1.67
2016M10,Hostales y pensiones,Estancia media No residentes en Espańa,1.59
2016M11,TOTAL,Estancia media,1.73
2016M11,TOTAL,Estancia media Residentes en Espańa,1.71
2016M11,TOTAL,Estancia media No residentes en Espańa,1.86
2016M11,4 y 5 estrellas,Estancia media,1.78
2016M11,4 y 5 estrellas,Estancia media Residentes en Espańa,1.79
2016M11,4 y 5 estrellas,Estancia media No residentes en Espańa,1.71
2016M11,3 estrellas,Estancia media,1.68
2016M11,3 estrellas,Estancia media Residentes en Espańa,1.65
2016M11,3 estrellas,Estancia media No residentes en Espańa,1.96
2016M11,1 y 2 estrellas,Estancia media,1.57
2016M11,1 y 2 estrellas,Estancia media Residentes en Espańa,1.58
2016M11,1 y 2 estrellas,Estancia media No residentes en Espańa,1.28
2016M11,Hostales y pensiones,Estancia media,1.84
2016M11,Hostales y pensiones,Estancia media Residentes en Espańa,1.84
2016M11,Hostales y pensiones,Estancia media No residentes en Espańa,1.86
2016M12,TOTAL,Estancia media,1.81
2016M12,TOTAL,Estancia media Residentes en Espańa,1.8
2016M12,TOTAL,Estancia media No residentes en Espańa,2.01
2016M12,4 y 5 estrellas,Estancia media,1.77
2016M12,4 y 5 estrellas,Estancia media Residentes en Espańa,1.76
2016M12,4 y 5 estrellas,Estancia media No residentes en Espańa,1.89
2016M12,3 estrellas,Estancia media,1.77
2016M12,3 estrellas,Estancia media Residentes en Espańa,1.74
2016M12,3 estrellas,Estancia media No residentes en Espańa,2.01
2016M12,1 y 2 estrellas,Estancia media,1.78
2016M12,1 y 2 estrellas,Estancia media Residentes en Espańa,1.79
2016M12,1 y 2 estrellas,Estancia media No residentes en Espańa,1.2
2016M12,Hostales y pensiones,Estancia media,2.01
2016M12,Hostales y pensiones,Estancia media Residentes en Espańa,1.99
2016M12,Hostales y pensiones,Estancia media No residentes en Espańa,2.45
2017M01,TOTAL,Estancia media,1.73
2017M01,TOTAL,Estancia media Residentes en Espańa,1.68
2017M01,TOTAL,Estancia media No residentes en Espańa,2.11
2017M01,4 y 5 estrellas,Estancia media,1.8
2017M01,4 y 5 estrellas,Estancia media Residentes en Espańa,1.78
2017M01,4 y 5 estrellas,Estancia media No residentes en Espańa,1.97
2017M01,3 estrellas,Estancia media,1.64
2017M01,3 estrellas,Estancia media Residentes en Espańa,1.57
2017M01,3 estrellas,Estancia media No residentes en Espańa,2.24
2017M01,1 y 2 estrellas,Estancia media,1.57
2017M01,1 y 2 estrellas,Estancia media Residentes en Espańa,1.57
2017M01,1 y 2 estrellas,Estancia media No residentes en Espańa,1.6
2017M01,Hostales y pensiones,Estancia media,1.97
2017M01,Hostales y pensiones,Estancia media Residentes en Espańa,1.96
2017M01,Hostales y pensiones,Estancia media No residentes en Espańa,2.17
2017M02,TOTAL,Estancia media,1.66
2017M02,TOTAL,Estancia media Residentes en Espańa,1.63
2017M02,TOTAL,Estancia media No residentes en Espańa,1.94
2017M02,4 y 5 estrellas,Estancia media,1.71
2017M02,4 y 5 estrellas,Estancia media Residentes en Espańa,1.69
2017M02,4 y 5 estrellas,Estancia media No residentes en Espańa,1.91
2017M02,3 estrellas,Estancia media,1.62
2017M02,3 estrellas,Estancia media Residentes en Espańa,1.58
2017M02,3 estrellas,Estancia media No residentes en Espańa,2.02
2017M02,1 y 2 estrellas,Estancia media,1.61
2017M02,1 y 2 estrellas,Estancia media Residentes en Espańa,1.58
2017M02,1 y 2 estrellas,Estancia media No residentes en Espańa,2.05
2017M02,Hostales y pensiones,Estancia media,1.73
2017M02,Hostales y pensiones,Estancia media Residentes en Espańa,1.74
2017M02,Hostales y pensiones,Estancia media No residentes en Espańa,1.5
2017M03,TOTAL,Estancia media,1.77
2017M03,TOTAL,Estancia media Residentes en Espańa,1.78
2017M03,TOTAL,Estancia media No residentes en Espańa,1.7
2017M03,4 y 5 estrellas,Estancia media,1.83
2017M03,4 y 5 estrellas,Estancia media Residentes en Espańa,1.84
2017M03,4 y 5 estrellas,Estancia media No residentes en Espańa,1.81
2017M03,3 estrellas,Estancia media,1.7
2017M03,3 estrellas,Estancia media Residentes en Espańa,1.7
2017M03,3 estrellas,Estancia media No residentes en Espańa,1.66
2017M03,1 y 2 estrellas,Estancia media,1.78
2017M03,1 y 2 estrellas,Estancia media Residentes en Espańa,1.78
2017M03,1 y 2 estrellas,Estancia media No residentes en Espańa,1.84
2017M03,Hostales y pensiones,Estancia media,1.94
2017M03,Hostales y pensiones,Estancia media Residentes en Espańa,1.99
2017M03,Hostales y pensiones,Estancia media No residentes en Espańa,1.59
2017M04,TOTAL,Estancia media,1.75
2017M04,TOTAL,Estancia media Residentes en Espańa,1.81
2017M04,TOTAL,Estancia media No residentes en Espańa,1.53
2017M04,4 y 5 estrellas,Estancia media,1.91
2017M04,4 y 5 estrellas,Estancia media Residentes en Espańa,1.94
2017M04,4 y 5 estrellas,Estancia media No residentes en Espańa,1.71
2017M04,3 estrellas,Estancia media,1.68
2017M04,3 estrellas,Estancia media Residentes en Espańa,1.7
2017M04,3 estrellas,Estancia media No residentes en Espańa,1.59
2017M04,1 y 2 estrellas,Estancia media,1.66
2017M04,1 y 2 estrellas,Estancia media Residentes en Espańa,1.67
2017M04,1 y 2 estrellas,Estancia media No residentes en Espańa,1.61
2017M04,Hostales y pensiones,Estancia media,1.78
2017M04,Hostales y pensiones,Estancia media Residentes en Espańa,2.02
2017M04,Hostales y pensiones,Estancia media No residentes en Espańa,1.25
2017M05,TOTAL,Estancia media,1.7
2017M05,TOTAL,Estancia media Residentes en Espańa,1.72
2017M05,TOTAL,Estancia media No residentes en Espańa,1.67
2017M05,4 y 5 estrellas,Estancia media,1.99
2017M05,4 y 5 estrellas,Estancia media Residentes en Espańa,1.93
2017M05,4 y 5 estrellas,Estancia media No residentes en Espańa,2.14
2017M05,3 estrellas,Estancia media,1.65
2017M05,3 estrellas,Estancia media Residentes en Espańa,1.68
2017M05,3 estrellas,Estancia media No residentes en Espańa,1.59
2017M05,1 y 2 estrellas,Estancia media,1.49
2017M05,1 y 2 estrellas,Estancia media Residentes en Espańa,1.47
2017M05,1 y 2 estrellas,Estancia media No residentes en Espańa,1.6
2017M05,Hostales y pensiones,Estancia media,1.47
2017M05,Hostales y pensiones,Estancia media Residentes en Espańa,1.55
2017M05,Hostales y pensiones,Estancia media No residentes en Espańa,1.31
2017M06,TOTAL,Estancia media,1.82
2017M06,TOTAL,Estancia media Residentes en Espańa,1.87
2017M06,TOTAL,Estancia media No residentes en Espańa,1.68
2017M06,4 y 5 estrellas,Estancia media,2.06
2017M06,4 y 5 estrellas,Estancia media Residentes en Espańa,2.16
2017M06,4 y 5 estrellas,Estancia media No residentes en Espańa,1.81
2017M06,3 estrellas,Estancia media,1.75
2017M06,3 estrellas,Estancia media Residentes en Espańa,1.79
2017M06,3 estrellas,Estancia media No residentes en Espańa,1.67
2017M06,1 y 2 estrellas,Estancia media,1.71
2017M06,1 y 2 estrellas,Estancia media Residentes en Espańa,1.76
2017M06,1 y 2 estrellas,Estancia media No residentes en Espańa,1.45
2017M06,Hostales y pensiones,Estancia media,1.65
2017M06,Hostales y pensiones,Estancia media Residentes en Espańa,1.69
2017M06,Hostales y pensiones,Estancia media No residentes en Espańa,1.54
2017M07,TOTAL,Estancia media,1.77
2017M07,TOTAL,Estancia media Residentes en Espańa,1.79
2017M07,TOTAL,Estancia media No residentes en Espańa,1.68
2017M07,4 y 5 estrellas,Estancia media,2.01
2017M07,4 y 5 estrellas,Estancia media Residentes en Espańa,2.02
2017M07,4 y 5 estrellas,Estancia media No residentes en Espańa,1.95
2017M07,3 estrellas,Estancia media,1.65
2017M07,3 estrellas,Estancia media Residentes en Espańa,1.68
2017M07,3 estrellas,Estancia media No residentes en Espańa,1.53
2017M07,1 y 2 estrellas,Estancia media,1.68
2017M07,1 y 2 estrellas,Estancia media Residentes en Espańa,1.73
2017M07,1 y 2 estrellas,Estancia media No residentes en Espańa,1.35
2017M07,Hostales y pensiones,Estancia media,1.8
2017M07,Hostales y pensiones,Estancia media Residentes en Espańa,1.79
