Periodo,País de residencia,Medida,DATA
2016M09,Paises Bajos,Pernoctaciones,26.03
2016M09,Italia,Viajeros,15.62
2016M09,Italia,Pernoctaciones,31.23
2016M10,TOTAL,Viajeros,4316.43
2016M10,TOTAL,Pernoctaciones,8996.43
2016M10,RESIDENTES EN ESPAŃA,Viajeros,3999.27
2016M10,RESIDENTES EN ESPAŃA,Pernoctaciones,8351.8
2016M10,NO RESIDENTE EN ESPAŃA,Viajeros,317.16
2016M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,644.63
2016M10,Alemania,Viajeros,5.16
2016M10,Alemania,Pernoctaciones,5.16
2016M10,Francia,Viajeros,74.78
2016M10,Francia,Pernoctaciones,110.88
2016M10,Reino Unido,Viajeros,69.62
2016M10,Reino Unido,Pernoctaciones,126.35
2016M10,Resto de no residentes en Espańa,Viajeros,23.21
2016M10,Resto de no residentes en Espańa,Pernoctaciones,46.41
2016M10,Resto de UE,Viajeros,74.78
2016M10,Resto de UE,Pernoctaciones,136.66
2016M10,Resto de Europa,Viajeros,36.1
2016M10,Resto de Europa,Pernoctaciones,128.93
2016M10,Estados Unidos,Viajeros,7.74
2016M10,Estados Unidos,Pernoctaciones,28.36
2016M10,Paises Bajos,Viajeros,10.31
2016M10,Paises Bajos,Pernoctaciones,20.63
2016M10,Italia,Viajeros,15.47
2016M10,Italia,Pernoctaciones,41.26
2016M11,TOTAL,Viajeros,2738.38
2016M11,TOTAL,Pernoctaciones,5234.38
2016M11,RESIDENTES EN ESPAŃA,Viajeros,2681.65
2016M11,RESIDENTES EN ESPAŃA,Pernoctaciones,5151.87
2016M11,NO RESIDENTE EN ESPAŃA,Viajeros,56.73
2016M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,82.51
2016M11,Alemania,Viajeros,
2016M11,Alemania,Pernoctaciones,
2016M11,Francia,Viajeros,30.94
2016M11,Francia,Pernoctaciones,36.1
2016M11,Reino Unido,Viajeros,7.74
2016M11,Reino Unido,Pernoctaciones,12.89
2016M11,Resto de no residentes en Espańa,Viajeros,
2016M11,Resto de no residentes en Espańa,Pernoctaciones,
2016M11,Resto de UE,Viajeros,
2016M11,Resto de UE,Pernoctaciones,
2016M11,Resto de Europa,Viajeros,15.47
2016M11,Resto de Europa,Pernoctaciones,30.94
2016M11,Estados Unidos,Viajeros,
2016M11,Estados Unidos,Pernoctaciones,
2016M11,Paises Bajos,Viajeros,2.58
2016M11,Paises Bajos,Pernoctaciones,2.58
2016M11,Italia,Viajeros,
2016M11,Italia,Pernoctaciones,
2016M12,TOTAL,Viajeros,3304.51
2016M12,TOTAL,Pernoctaciones,7699.46
2016M12,RESIDENTES EN ESPAŃA,Viajeros,3276.42
2016M12,RESIDENTES EN ESPAŃA,Pernoctaciones,7640.73
2016M12,NO RESIDENTE EN ESPAŃA,Viajeros,28.09
2016M12,NO RESIDENTE EN ESPAŃA,Pernoctaciones,58.74
2016M12,Alemania,Viajeros,
2016M12,Alemania,Pernoctaciones,
2016M12,Francia,Viajeros,25.54
2016M12,Francia,Pernoctaciones,56.18
2016M12,Reino Unido,Viajeros,
2016M12,Reino Unido,Pernoctaciones,
2016M12,Resto de no residentes en Espańa,Viajeros,2.55
2016M12,Resto de no residentes en Espańa,Pernoctaciones,2.55
2016M12,Resto de UE,Viajeros,
2016M12,Resto de UE,Pernoctaciones,
2016M12,Resto de Europa,Viajeros,
2016M12,Resto de Europa,Pernoctaciones,
2016M12,Estados Unidos,Viajeros,
2016M12,Estados Unidos,Pernoctaciones,
2016M12,Paises Bajos,Viajeros,
2016M12,Paises Bajos,Pernoctaciones,
2016M12,Italia,Viajeros,
2016M12,Italia,Pernoctaciones,
2017M01,TOTAL,Viajeros,1057.09
2017M01,TOTAL,Pernoctaciones,1955.73
2017M01,RESIDENTES EN ESPAŃA,Viajeros,1017.48
2017M01,RESIDENTES EN ESPAŃA,Pernoctaciones,1896.32
2017M01,NO RESIDENTE EN ESPAŃA,Viajeros,39.61
2017M01,NO RESIDENTE EN ESPAŃA,Pernoctaciones,59.41
2017M01,Alemania,Viajeros,14.85
2017M01,Alemania,Pernoctaciones,14.85
2017M01,Francia,Viajeros,
2017M01,Francia,Pernoctaciones,
2017M01,Reino Unido,Viajeros,
2017M01,Reino Unido,Pernoctaciones,
2017M01,Resto de no residentes en Espańa,Viajeros,19.8
2017M01,Resto de no residentes en Espańa,Pernoctaciones,29.71
2017M01,Resto de UE,Viajeros,4.95
2017M01,Resto de UE,Pernoctaciones,14.85
2017M01,Resto de Europa,Viajeros,
2017M01,Resto de Europa,Pernoctaciones,
2017M01,Estados Unidos,Viajeros,
2017M01,Estados Unidos,Pernoctaciones,
2017M01,Paises Bajos,Viajeros,
2017M01,Paises Bajos,Pernoctaciones,
2017M01,Italia,Viajeros,
2017M01,Italia,Pernoctaciones,
2017M02,TOTAL,Viajeros,2257.63
2017M02,TOTAL,Pernoctaciones,4056.76
2017M02,RESIDENTES EN ESPAŃA,Viajeros,2202.81
2017M02,RESIDENTES EN ESPAŃA,Pernoctaciones,3991.98
2017M02,NO RESIDENTE EN ESPAŃA,Viajeros,54.82
2017M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,64.79
2017M02,Alemania,Viajeros,
2017M02,Alemania,Pernoctaciones,
2017M02,Francia,Viajeros,22.43
2017M02,Francia,Pernoctaciones,22.43
2017M02,Reino Unido,Viajeros,9.97
2017M02,Reino Unido,Pernoctaciones,19.93
2017M02,Resto de no residentes en Espańa,Viajeros,
2017M02,Resto de no residentes en Espańa,Pernoctaciones,
2017M02,Resto de UE,Viajeros,22.43
2017M02,Resto de UE,Pernoctaciones,22.43
2017M02,Resto de Europa,Viajeros,
2017M02,Resto de Europa,Pernoctaciones,
2017M02,Estados Unidos,Viajeros,
2017M02,Estados Unidos,Pernoctaciones,
2017M02,Paises Bajos,Viajeros,
2017M02,Paises Bajos,Pernoctaciones,
2017M02,Italia,Viajeros,
2017M02,Italia,Pernoctaciones,
2017M03,TOTAL,Viajeros,3040.04
2017M03,TOTAL,Pernoctaciones,5502.73
2017M03,RESIDENTES EN ESPAŃA,Viajeros,2968.51
2017M03,RESIDENTES EN ESPAŃA,Pernoctaciones,5390.32
2017M03,NO RESIDENTE EN ESPAŃA,Viajeros,71.53
2017M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,112.4
2017M03,Alemania,Viajeros,5.11
2017M03,Alemania,Pernoctaciones,5.11
2017M03,Francia,Viajeros,30.66
2017M03,Francia,Pernoctaciones,56.2
2017M03,Reino Unido,Viajeros,10.22
2017M03,Reino Unido,Pernoctaciones,15.33
2017M03,Resto de no residentes en Espańa,Viajeros,5.11
2017M03,Resto de no residentes en Espańa,Pernoctaciones,5.11
2017M03,Resto de UE,Viajeros,10.22
2017M03,Resto de UE,Pernoctaciones,20.44
2017M03,Resto de Europa,Viajeros,5.11
2017M03,Resto de Europa,Pernoctaciones,5.11
2017M03,Estados Unidos,Viajeros,5.11
2017M03,Estados Unidos,Pernoctaciones,5.11
2017M03,Paises Bajos,Viajeros,
2017M03,Paises Bajos,Pernoctaciones,
2017M03,Italia,Viajeros,
2017M03,Italia,Pernoctaciones,
2017M04,TOTAL,Viajeros,4283.76
2017M04,TOTAL,Pernoctaciones,11433.42
2017M04,RESIDENTES EN ESPAŃA,Viajeros,4037.39
2017M04,RESIDENTES EN ESPAŃA,Pernoctaciones,10840.13
2017M04,NO RESIDENTE EN ESPAŃA,Viajeros,246.37
2017M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,593.29
2017M04,Alemania,Viajeros,15.08
2017M04,Alemania,Pernoctaciones,25.14
2017M04,Francia,Viajeros,118.16
2017M04,Francia,Pernoctaciones,311.73
2017M04,Reino Unido,Viajeros,30.17
2017M04,Reino Unido,Pernoctaciones,40.22
2017M04,Resto de no residentes en Espańa,Viajeros,22.63
2017M04,Resto de no residentes en Espańa,Pernoctaciones,35.2
2017M04,Resto de UE,Viajeros,35.2
2017M04,Resto de UE,Pernoctaciones,125.7
2017M04,Resto de Europa,Viajeros,10.06
2017M04,Resto de Europa,Pernoctaciones,20.11
2017M04,Estados Unidos,Viajeros,15.08
2017M04,Estados Unidos,Pernoctaciones,35.2
2017M04,Paises Bajos,Viajeros,
2017M04,Paises Bajos,Pernoctaciones,
2017M04,Italia,Viajeros,
2017M04,Italia,Pernoctaciones,
2017M05,TOTAL,Viajeros,3091.85
2017M05,TOTAL,Pernoctaciones,6262.38
2017M05,RESIDENTES EN ESPAŃA,Viajeros,2784.69
2017M05,RESIDENTES EN ESPAŃA,Pernoctaciones,5566.85
2017M05,NO RESIDENTE EN ESPAŃA,Viajeros,307.15
2017M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,695.54
2017M05,Alemania,Viajeros,30.46
2017M05,Alemania,Pernoctaciones,66
2017M05,Francia,Viajeros,121.85
2017M05,Francia,Pernoctaciones,228.46
2017M05,Reino Unido,Viajeros,30.46
2017M05,Reino Unido,Pernoctaciones,66
2017M05,Resto de no residentes en Espańa,Viajeros,20.31
2017M05,Resto de no residentes en Espańa,Pernoctaciones,25.38
2017M05,Resto de UE,Viajeros,48.23
2017M05,Resto de UE,Pernoctaciones,167.54
2017M05,Resto de Europa,Viajeros,
2017M05,Resto de Europa,Pernoctaciones,
2017M05,Estados Unidos,Viajeros,10.15
2017M05,Estados Unidos,Pernoctaciones,25.38
2017M05,Paises Bajos,Viajeros,40.62
2017M05,Paises Bajos,Pernoctaciones,86.31
2017M05,Italia,Viajeros,5.08
2017M05,Italia,Pernoctaciones,30.46
2017M06,TOTAL,Viajeros,3361.28
2017M06,TOTAL,Pernoctaciones,6460.2
2017M06,RESIDENTES EN ESPAŃA,Viajeros,3031.38
2017M06,RESIDENTES EN ESPAŃA,Pernoctaciones,5857.56
2017M06,NO RESIDENTE EN ESPAŃA,Viajeros,329.89
2017M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,602.64
2017M06,Alemania,Viajeros,36.37
2017M06,Alemania,Pernoctaciones,98.71
2017M06,Francia,Viajeros,75.33
2017M06,Francia,Pernoctaciones,85.72
2017M06,Reino Unido,Viajeros,77.93
2017M06,Reino Unido,Pernoctaciones,119.49
2017M06,Resto de no residentes en Espańa,Viajeros,20.78
2017M06,Resto de no residentes en Espańa,Pernoctaciones,51.95
2017M06,Resto de UE,Viajeros,5.2
2017M06,Resto de UE,Pernoctaciones,5.2
2017M06,Resto de Europa,Viajeros,
2017M06,Resto de Europa,Pernoctaciones,
2017M06,Estados Unidos,Viajeros,77.93
2017M06,Estados Unidos,Pernoctaciones,166.25
2017M06,Paises Bajos,Viajeros,25.98
2017M06,Paises Bajos,Pernoctaciones,51.95
2017M06,Italia,Viajeros,10.39
2017M06,Italia,Pernoctaciones,23.38
2017M07,TOTAL,Viajeros,3875.52
2017M07,TOTAL,Pernoctaciones,8412.89
2017M07,RESIDENTES EN ESPAŃA,Viajeros,3568.5
2017M07,RESIDENTES EN ESPAŃA,Pernoctaciones,7738.45
2017M07,NO RESIDENTE EN ESPAŃA,Viajeros,307.02
2017M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,674.44
2017M07,Alemania,Viajeros,45.3
2017M07,Alemania,Pernoctaciones,83.05
2017M07,Francia,Viajeros,75.5
2017M07,Francia,Pernoctaciones,171.13
2017M07,Reino Unido,Viajeros,57.88
2017M07,Reino Unido,Pernoctaciones,110.73
2017M07,Resto de no residentes en Espańa,Viajeros,20.13
2017M07,Resto de no residentes en Espańa,Pernoctaciones,40.27
2017M07,Resto de UE,Viajeros,15.1
2017M07,Resto de UE,Pernoctaciones,50.33
2017M07,Resto de Europa,Viajeros,37.75
2017M07,Resto de Europa,Pernoctaciones,78.01
2017M07,Estados Unidos,Viajeros,35.23
2017M07,Estados Unidos,Pernoctaciones,110.73
2017M07,Paises Bajos,Viajeros,10.07
2017M07,Paises Bajos,Pernoctaciones,20.13
2017M07,Italia,Viajeros,10.07
2017M07,Italia,Pernoctaciones,10.07
2017M08,TOTAL,Viajeros,5370.25
2017M08,TOTAL,Pernoctaciones,14796.85
2017M08,RESIDENTES EN ESPAŃA,Viajeros,4970.48
2017M08,RESIDENTES EN ESPAŃA,Pernoctaciones,13923.45
2017M08,NO RESIDENTE EN ESPAŃA,Viajeros,399.78
2017M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,873.4
2017M08,Alemania,Viajeros,53.47
2017M08,Alemania,Pernoctaciones,94.21
2017M08,Francia,Viajeros,78.94
2017M08,Francia,Pernoctaciones,104.4
2017M08,Reino Unido,Viajeros,76.39
2017M08,Reino Unido,Pernoctaciones,198.62
2017M08,Resto de no residentes en Espańa,Viajeros,56.02
2017M08,Resto de no residentes en Espańa,Pernoctaciones,142.6
2017M08,Resto de UE,Viajeros,30.56
2017M08,Resto de UE,Pernoctaciones,45.83
2017M08,Resto de Europa,Viajeros,17.82
2017M08,Resto de Europa,Pernoctaciones,38.2
2017M08,Estados Unidos,Viajeros,17.82
2017M08,Estados Unidos,Pernoctaciones,38.2
2017M08,Paises Bajos,Viajeros,48.38
2017M08,Paises Bajos,Pernoctaciones,155.33
2017M08,Italia,Viajeros,20.37
2017M08,Italia,Pernoctaciones,56.02
2017M09,TOTAL,Viajeros,3818.03
2017M09,TOTAL,Pernoctaciones,8020.61
2017M09,RESIDENTES EN ESPAŃA,Viajeros,3478.43
2017M09,RESIDENTES EN ESPAŃA,Pernoctaciones,7376.36
2017M09,NO RESIDENTE EN ESPAŃA,Viajeros,339.6
2017M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,644.25
2017M09,Alemania,Viajeros,39.95
2017M09,Alemania,Pernoctaciones,64.92
