Subcategoria,Indicador,Periodo,Gastos/Estancia,Categoria,Tipo de gasto,Fecha
De Mercado,Gasto medio por persona,2018,730.87,Tipo de alojamiento,No disponible,2018-01-01
De Mercado,Gasto medio por persona,2019,678.32,Tipo de alojamiento,No disponible,2019-01-01
De Mercado,Gasto medio por persona,2020,372.84,Tipo de alojamiento,No disponible,2020-01-01
De Mercado,Gasto medio por persona,2021,866.34,Tipo de alojamiento,No disponible,2021-01-01
De Mercado,Gasto medio por persona,2022,1006.05,Tipo de alojamiento,No disponible,2022-01-01
De Mercado,Gasto medio por persona,2023,607.16,Tipo de alojamiento,No disponible,2023-01-01
De Mercado,Gasto medio diario por persona,2016,145.05,Tipo de alojamiento,No disponible,2016-01-01
De Mercado,Gasto medio diario por persona,2017,130.11,Tipo de alojamiento,No disponible,2017-01-01
De Mercado,Gasto medio diario por persona,2018,178.33,Tipo de alojamiento,No disponible,2018-01-01
De Mercado,Gasto medio diario por persona,2019,162.92,Tipo de alojamiento,No disponible,2019-01-01
De Mercado,Gasto medio diario por persona,2020,182.89,Tipo de alojamiento,No disponible,2020-01-01
De Mercado,Gasto medio diario por persona,2021,171.72,Tipo de alojamiento,No disponible,2021-01-01
De Mercado,Gasto medio diario por persona,2022,210.14,Tipo de alojamiento,No disponible,2022-01-01
De Mercado,Gasto medio diario por persona,2023,223.62,Tipo de alojamiento,No disponible,2023-01-01
De Mercado,Duración media de los viajes,2016,3.83,Tipo de alojamiento,No disponible,2016-01-01
De Mercado,Duración media de los viajes,2017,6.23,Tipo de alojamiento,No disponible,2017-01-01
De Mercado,Duración media de los viajes,2018,4.1,Tipo de alojamiento,No disponible,2018-01-01
De Mercado,Duración media de los viajes,2019,4.16,Tipo de alojamiento,No disponible,2019-01-01
De Mercado,Duración media de los viajes,2020,2.04,Tipo de alojamiento,No disponible,2020-01-01
De Mercado,Duración media de los viajes,2021,5.05,Tipo de alojamiento,No disponible,2021-01-01
De Mercado,Duración media de los viajes,2022,4.79,Tipo de alojamiento,No disponible,2022-01-01
De Mercado,Duración media de los viajes,2023,2.72,Tipo de alojamiento,No disponible,2023-01-01
No de Mercado,Gasto total,2016,36241.08,Tipo de alojamiento,No disponible,2016-01-01
No de Mercado,Gasto total,2017,29191.15,Tipo de alojamiento,No disponible,2017-01-01
No de Mercado,Gasto total,2018,38878.27,Tipo de alojamiento,No disponible,2018-01-01
No de Mercado,Gasto total,2019,38941.67,Tipo de alojamiento,No disponible,2019-01-01
No de Mercado,Gasto total,2020,12257.99,Tipo de alojamiento,No disponible,2020-01-01
No de Mercado,Gasto total,2021,13377.36,Tipo de alojamiento,No disponible,2021-01-01
No de Mercado,Gasto total,2022,35796.16,Tipo de alojamiento,No disponible,2022-01-01
No de Mercado,Gasto total,2023,48399.88,Tipo de alojamiento,No disponible,2023-01-01
No de Mercado,Gasto medio por persona,2016,889.32,Tipo de alojamiento,No disponible,2016-01-01
No de Mercado,Gasto medio por persona,2017,708.38,Tipo de alojamiento,No disponible,2017-01-01
No de Mercado,Gasto medio por persona,2018,673.14,Tipo de alojamiento,No disponible,2018-01-01
No de Mercado,Gasto medio por persona,2019,746.95,Tipo de alojamiento,No disponible,2019-01-01
No de Mercado,Gasto medio por persona,2020,623.25,Tipo de alojamiento,No disponible,2020-01-01
No de Mercado,Gasto medio por persona,2021,901.29,Tipo de alojamiento,No disponible,2021-01-01
No de Mercado,Gasto medio por persona,2022,894.47,Tipo de alojamiento,No disponible,2022-01-01
No de Mercado,Gasto medio por persona,2023,878.76,Tipo de alojamiento,No disponible,2023-01-01
No de Mercado,Gasto medio diario por persona,2016,65.86,Tipo de alojamiento,No disponible,2016-01-01
No de Mercado,Gasto medio diario por persona,2017,62.42,Tipo de alojamiento,No disponible,2017-01-01
No de Mercado,Gasto medio diario por persona,2018,62.65,Tipo de alojamiento,No disponible,2018-01-01
No de Mercado,Gasto medio diario por persona,2019,66.38,Tipo de alojamiento,No disponible,2019-01-01
No de Mercado,Gasto medio diario por persona,2020,50.04,Tipo de alojamiento,No disponible,2020-01-01
No de Mercado,Gasto medio diario por persona,2021,69.36,Tipo de alojamiento,No disponible,2021-01-01
No de Mercado,Gasto medio diario por persona,2022,77.6,Tipo de alojamiento,No disponible,2022-01-01
No de Mercado,Gasto medio diario por persona,2023,99.65,Tipo de alojamiento,No disponible,2023-01-01
No de Mercado,Duración media de los viajes,2016,13.5,Tipo de alojamiento,No disponible,2016-01-01
No de Mercado,Duración media de los viajes,2017,11.35,Tipo de alojamiento,No disponible,2017-01-01
No de Mercado,Duración media de los viajes,2018,10.75,Tipo de alojamiento,No disponible,2018-01-01
No de Mercado,Duración media de los viajes,2019,11.25,Tipo de alojamiento,No disponible,2019-01-01
No de Mercado,Duración media de los viajes,2020,12.45,Tipo de alojamiento,No disponible,2020-01-01
No de Mercado,Duración media de los viajes,2021,13.0,Tipo de alojamiento,No disponible,2021-01-01
No de Mercado,Duración media de los viajes,2022,11.53,Tipo de alojamiento,No disponible,2022-01-01
No de Mercado,Duración media de los viajes,2023,8.82,Tipo de alojamiento,No disponible,2023-01-01
TOTAL,Gasto total,2016,93087.88,Motivo del viaje,No disponible,2016-01-01
TOTAL,Gasto total,2017,101962.17,Motivo del viaje,No disponible,2017-01-01
TOTAL,Gasto total,2018,101126.5,Motivo del viaje,No disponible,2018-01-01
TOTAL,Gasto total,2019,98201.73,Motivo del viaje,No disponible,2019-01-01
TOTAL,Gasto total,2020,21835.28,Motivo del viaje,No disponible,2020-01-01
TOTAL,Gasto total,2021,42027.48,Motivo del viaje,No disponible,2021-01-01
TOTAL,Gasto total,2022,108604.09,Motivo del viaje,No disponible,2022-01-01
TOTAL,Gasto total,2023,86729.82,Motivo del viaje,No disponible,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,Motivo del viaje,No disponible,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,Motivo del viaje,No disponible,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,Motivo del viaje,No disponible,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,Motivo del viaje,No disponible,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,Motivo del viaje,No disponible,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,Motivo del viaje,No disponible,2021-01-01
TOTAL,Gasto medio por persona,2022,966.32,Motivo del viaje,No disponible,2022-01-01
TOTAL,Gasto medio por persona,2023,733.71,Motivo del viaje,No disponible,2023-01-01
TOTAL,Gasto medio diario por persona,2016,98.8,Motivo del viaje,No disponible,2016-01-01
TOTAL,Gasto medio diario por persona,2017,99.29,Motivo del viaje,No disponible,2017-01-01
TOTAL,Gasto medio diario por persona,2018,104.29,Motivo del viaje,No disponible,2018-01-01
TOTAL,Gasto medio diario por persona,2019,103.32,Motivo del viaje,No disponible,2019-01-01
TOTAL,Gasto medio diario por persona,2020,73.44,Motivo del viaje,No disponible,2020-01-01
TOTAL,Gasto medio diario por persona,2021,116.83,Motivo del viaje,No disponible,2021-01-01
TOTAL,Gasto medio diario por persona,2022,134.45,Motivo del viaje,No disponible,2022-01-01
TOTAL,Gasto medio diario por persona,2023,131.99,Motivo del viaje,No disponible,2023-01-01
TOTAL,Duración media de los viajes,2016,6.59,Motivo del viaje,No disponible,2016-01-01
TOTAL,Duración media de los viajes,2017,7.84,Motivo del viaje,No disponible,2017-01-01
TOTAL,Duración media de los viajes,2018,6.78,Motivo del viaje,No disponible,2018-01-01
TOTAL,Duración media de los viajes,2019,6.81,Motivo del viaje,No disponible,2019-01-01
TOTAL,Duración media de los viajes,2020,6.56,Motivo del viaje,No disponible,2020-01-01
TOTAL,Duración media de los viajes,2021,7.51,Motivo del viaje,No disponible,2021-01-01
TOTAL,Duración media de los viajes,2022,7.19,Motivo del viaje,No disponible,2022-01-01
TOTAL,Duración media de los viajes,2023,5.56,Motivo del viaje,No disponible,2023-01-01
"Ocio, recreo y vacaciones",Gasto total,2016,39232.44,Motivo del viaje,No disponible,2016-01-01
"Ocio, recreo y vacaciones",Gasto total,2017,55458.02,Motivo del viaje,No disponible,2017-01-01
