Periodo,Categoría,Grado de ocupación,DATA
2020M06,TOTAL,grado de ocupacion por parcelas fin de semana,64.74
2020M06,Camping de 1Ş,grado de ocupación por parcelas,63.62
2020M06,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,64.74
2020M06,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,3.36
2020M06,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2020M07,TOTAL,grado de ocupación por parcelas,63.36
2020M07,TOTAL,grado de ocupacion por parcelas fin de semana,62.36
2020M07,Camping de 1Ş,grado de ocupación por parcelas,66.59
2020M07,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,63.35
2020M07,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,9.54
2020M07,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,58.19
2020M08,TOTAL,grado de ocupación por parcelas,65.4
2020M08,TOTAL,grado de ocupacion por parcelas fin de semana,71.46
2020M08,Camping de 1Ş,grado de ocupación por parcelas,67.95
2020M08,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,71.96
2020M08,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,10.48
2020M08,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,69.36
2020M09,TOTAL,grado de ocupación por parcelas,59.44
2020M09,TOTAL,grado de ocupacion por parcelas fin de semana,64.25
2020M09,Camping de 1Ş,grado de ocupación por parcelas,65.06
2020M09,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,65.75
2020M09,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2020M09,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2020M10,TOTAL,grado de ocupación por parcelas,57.35
2020M10,TOTAL,grado de ocupacion por parcelas fin de semana,57.2
2020M10,Camping de 1Ş,grado de ocupación por parcelas,63.44
2020M10,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,63.52
2020M10,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2020M10,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
2020M12,TOTAL,grado de ocupación por parcelas,61.13
2020M12,TOTAL,grado de ocupacion por parcelas fin de semana,61.71
2020M12,Camping de 1Ş,grado de ocupación por parcelas,63.47
2020M12,Camping de 1Ş,grado de ocupacion por parcelas fin de semana,61.71
2020M12,Camping de 2Ş y 3Ş,grado de ocupación por parcelas,
2020M12,Camping de 2Ş y 3Ş,grado de ocupacion por parcelas fin de semana,
