Periodo,Categoría,Residencia viajero,DATA
2019M04,TOTAL,Residentes en Espańa,27550.28
2019M04,TOTAL,No residentes en Espańa,3394.72
2019M04,Camping de 1Ş,TOTAL,24155
2019M04,Camping de 1Ş,Residentes en Espańa,23598.81
2019M04,Camping de 1Ş,No residentes en Espańa,556.19
2019M04,Camping de 2Ş y 3Ş,TOTAL,6790
2019M04,Camping de 2Ş y 3Ş,Residentes en Espańa,3951.48
2019M04,Camping de 2Ş y 3Ş,No residentes en Espańa,2838.52
2019M05,TOTAL,TOTAL,17529
2019M05,TOTAL,Residentes en Espańa,13046.83
2019M05,TOTAL,No residentes en Espańa,4482.17
2019M05,Camping de 1Ş,TOTAL,12591
2019M05,Camping de 1Ş,Residentes en Espańa,10654.32
2019M05,Camping de 1Ş,No residentes en Espańa,1936.68
2019M05,Camping de 2Ş y 3Ş,TOTAL,4938
2019M05,Camping de 2Ş y 3Ş,Residentes en Espańa,2392.51
2019M05,Camping de 2Ş y 3Ş,No residentes en Espańa,2545.49
2019M06,TOTAL,TOTAL,29666
2019M06,TOTAL,Residentes en Espańa,23494.05
2019M06,TOTAL,No residentes en Espańa,6171.95
2019M06,Camping de 1Ş,TOTAL,19785
2019M06,Camping de 1Ş,Residentes en Espańa,17761.23
2019M06,Camping de 1Ş,No residentes en Espańa,2023.77
2019M06,Camping de 2Ş y 3Ş,TOTAL,9881
2019M06,Camping de 2Ş y 3Ş,Residentes en Espańa,5732.83
2019M06,Camping de 2Ş y 3Ş,No residentes en Espańa,4148.17
2019M07,TOTAL,TOTAL,105320.88
2019M07,TOTAL,Residentes en Espańa,100647.52
2019M07,TOTAL,No residentes en Espańa,4673.37
2019M07,Camping de 1Ş,TOTAL,80975
2019M07,Camping de 1Ş,Residentes en Espańa,79283.45
2019M07,Camping de 1Ş,No residentes en Espańa,1691.55
2019M07,Camping de 2Ş y 3Ş,TOTAL,24345.88
2019M07,Camping de 2Ş y 3Ş,Residentes en Espańa,21364.06
2019M07,Camping de 2Ş y 3Ş,No residentes en Espańa,2981.82
2019M08,TOTAL,TOTAL,148142
2019M08,TOTAL,Residentes en Espańa,140287.01
2019M08,TOTAL,No residentes en Espańa,7854.99
2019M08,Camping de 1Ş,TOTAL,122768
2019M08,Camping de 1Ş,Residentes en Espańa,117510.89
2019M08,Camping de 1Ş,No residentes en Espańa,5257.11
2019M08,Camping de 2Ş y 3Ş,TOTAL,25374
2019M08,Camping de 2Ş y 3Ş,Residentes en Espańa,22776.12
