Periodo,CCAA de residencia,Medida,DATA
2016M09,"Rioja, La",Viajeros,226.75
2016M09,"Rioja, La",Pernoctaciones,578.76
2016M09,Ceuta,Viajeros,
2016M09,Ceuta,Pernoctaciones,
2016M09,Aragón,Viajeros,13.17
2016M09,Aragón,Pernoctaciones,31.49
2016M09,Castilla y León,Viajeros,55.96
2016M09,Castilla y León,Pernoctaciones,126.74
2016M09,"Asturias, Principado de",Viajeros,64.93
2016M09,"Asturias, Principado de",Pernoctaciones,92.39
2016M09,Cantabria,Viajeros,87.83
2016M09,Cantabria,Pernoctaciones,75.49
2016M09,Galicia,Viajeros,73.68
2016M09,Galicia,Pernoctaciones,117.4
2016M09,Castilla - La Mancha,Viajeros,45.18
2016M09,Castilla - La Mancha,Pernoctaciones,183.24
2016M09,Canarias,Viajeros,9.88
2016M09,Canarias,Pernoctaciones,7.87
2016M09,"Murcia, Región de",Viajeros,13.17
2016M09,"Murcia, Región de",Pernoctaciones,10.5
2016M09,Extremadura,Viajeros,
2016M09,Extremadura,Pernoctaciones,43.53
2016M09,Melilla,Viajeros,
2016M09,Melilla,Pernoctaciones,
2016M10,TOTAL,Viajeros,6350
2016M10,TOTAL,Pernoctaciones,15371
2016M10,NO RESIDENTE EN ESPAŃA,Viajeros,1497.82
2016M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2936.97
2016M10,RESIDENTES EN ESPAŃA,Viajeros,4852.18
2016M10,RESIDENTES EN ESPAŃA,Pernoctaciones,12434.03
2016M10,Andalucía,Viajeros,19.81
2016M10,Andalucía,Pernoctaciones,28.69
2016M10,"Balears, Illes",Viajeros,13.35
2016M10,"Balears, Illes",Pernoctaciones,14.34
2016M10,Cataluńa,Viajeros,144.74
2016M10,Cataluńa,Pernoctaciones,346.93
2016M10,Comunitat Valenciana,Viajeros,6.89
2016M10,Comunitat Valenciana,Pernoctaciones,13.59
2016M10,"Madrid, Comunidad de",Viajeros,198.96
2016M10,"Madrid, Comunidad de",Pernoctaciones,380.53
2016M10,"Navarra, Comunidad Foral de",Viajeros,223.52
2016M10,"Navarra, Comunidad Foral de",Pernoctaciones,400.55
2016M10,País Vasco,Viajeros,3707.03
2016M10,País Vasco,Pernoctaciones,10073.88
2016M10,"Rioja, La",Viajeros,289.36
2016M10,"Rioja, La",Pernoctaciones,720.21
2016M10,Ceuta,Viajeros,
2016M10,Ceuta,Pernoctaciones,
2016M10,Aragón,Viajeros,34.46
2016M10,Aragón,Pernoctaciones,67.96
2016M10,Castilla y León,Viajeros,27.57
2016M10,Castilla y León,Pernoctaciones,27.18
2016M10,"Asturias, Principado de",Viajeros,
2016M10,"Asturias, Principado de",Pernoctaciones,
2016M10,Cantabria,Viajeros,65.48
2016M10,Cantabria,Pernoctaciones,112.13
2016M10,Galicia,Viajeros,53.83
2016M10,Galicia,Pernoctaciones,109.1
2016M10,Castilla - La Mancha,Viajeros,25.83
2016M10,Castilla - La Mancha,Pernoctaciones,50.58
2016M10,Canarias,Viajeros,6.89
2016M10,Canarias,Pernoctaciones,6.8
2016M10,"Murcia, Región de",Viajeros,
2016M10,"Murcia, Región de",Pernoctaciones,
2016M10,Extremadura,Viajeros,34.46
2016M10,Extremadura,Pernoctaciones,81.55
2016M10,Melilla,Viajeros,
2016M10,Melilla,Pernoctaciones,
2016M11,TOTAL,Viajeros,5370
2016M11,TOTAL,Pernoctaciones,10685
2016M11,NO RESIDENTE EN ESPAŃA,Viajeros,876.26
2016M11,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1269.09
2016M11,RESIDENTES EN ESPAŃA,Viajeros,4493.74
2016M11,RESIDENTES EN ESPAŃA,Pernoctaciones,9415.91
2016M11,Andalucía,Viajeros,21.98
2016M11,Andalucía,Pernoctaciones,63.93
2016M11,"Balears, Illes",Viajeros,
2016M11,"Balears, Illes",Pernoctaciones,
2016M11,Cataluńa,Viajeros,270.92
