Periodo,Categoría,Estancia media,DATA
2018M04,Camping de 1Ş,Estancia media,2.83
2018M04,Camping de 1Ş,Estancia media Residentes en Espańa,2.9
2018M04,Camping de 1Ş,Estancia media No residentes en Espańa,2.45
2018M04,Camping de 2Ş y 3Ş,Estancia media,2.52
2018M04,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,3.64
2018M04,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,1.23
2018M05,TOTAL,Estancia media,1.93
2018M05,TOTAL,Estancia media Residentes en Espańa,1.97
2018M05,TOTAL,Estancia media No residentes en Espańa,1.81
2018M05,Camping de 1Ş,Estancia media,1.92
2018M05,Camping de 1Ş,Estancia media Residentes en Espańa,2
2018M05,Camping de 1Ş,Estancia media No residentes en Espańa,1.59
2018M05,Camping de 2Ş y 3Ş,Estancia media,1.94
2018M05,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,1.85
2018M05,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.05
2018M06,TOTAL,Estancia media,2.1
2018M06,TOTAL,Estancia media Residentes en Espańa,2.05
2018M06,TOTAL,Estancia media No residentes en Espańa,2.24
2018M06,Camping de 1Ş,Estancia media,2
2018M06,Camping de 1Ş,Estancia media Residentes en Espańa,2.02
2018M06,Camping de 1Ş,Estancia media No residentes en Espańa,1.89
2018M06,Camping de 2Ş y 3Ş,Estancia media,2.34
2018M06,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,2.19
2018M06,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.51
2018M07,TOTAL,Estancia media,2.86
2018M07,TOTAL,Estancia media Residentes en Espańa,2.99
2018M07,TOTAL,Estancia media No residentes en Espańa,1.51
2018M07,Camping de 1Ş,Estancia media,2.71
2018M07,Camping de 1Ş,Estancia media Residentes en Espańa,2.83
2018M07,Camping de 1Ş,Estancia media No residentes en Espańa,0.88
2018M07,Camping de 2Ş y 3Ş,Estancia media,3.74
2018M07,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,4.03
2018M07,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.63
2018M08,TOTAL,Estancia media,3.39
2018M08,TOTAL,Estancia media Residentes en Espańa,3.68
2018M08,TOTAL,Estancia media No residentes en Espańa,1.34
2018M08,Camping de 1Ş,Estancia media,3.16
2018M08,Camping de 1Ş,Estancia media Residentes en Espańa,3.41
2018M08,Camping de 1Ş,Estancia media No residentes en Espańa,1.11
2018M08,Camping de 2Ş y 3Ş,Estancia media,5.24
2018M08,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,6.17
2018M08,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.2
2018M09,TOTAL,Estancia media,2.02
2018M09,TOTAL,Estancia media Residentes en Espańa,2.05
2018M09,TOTAL,Estancia media No residentes en Espańa,1.81
2018M09,Camping de 1Ş,Estancia media,1.88
2018M09,Camping de 1Ş,Estancia media Residentes en Espańa,1.89
2018M09,Camping de 1Ş,Estancia media No residentes en Espańa,1.63
2018M09,Camping de 2Ş y 3Ş,Estancia media,
2018M09,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M09,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M10,TOTAL,Estancia media,2.18
2018M10,TOTAL,Estancia media Residentes en Espańa,2.3
2018M10,TOTAL,Estancia media No residentes en Espańa,1.76
2018M10,Camping de 1Ş,Estancia media,2.18
2018M10,Camping de 1Ş,Estancia media Residentes en Espańa,2.28
2018M10,Camping de 1Ş,Estancia media No residentes en Espańa,1.24
2018M10,Camping de 2Ş y 3Ş,Estancia media,
2018M10,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2018M10,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2018M11,TOTAL,Estancia media,2.39
2018M11,TOTAL,Estancia media Residentes en Espańa,2.43
2018M11,TOTAL,Estancia media No residentes en Espańa,1.73
2018M11,Camping de 1Ş,Estancia media,2.5
2018M11,Camping de 1Ş,Estancia media Residentes en Espańa,2.51
