Periodo,País de residencia,Medida,DATA
2017M05,Alemania,Viajeros,251.53
2017M05,Alemania,Pernoctaciones,354.03
2017M05,Francia,Viajeros,295.27
2017M05,Francia,Pernoctaciones,486.05
2017M05,Paises Bajos,Viajeros,184.03
2017M05,Paises Bajos,Pernoctaciones,332.44
2017M05,Reino Unido,Viajeros,626.72
2017M05,Reino Unido,Pernoctaciones,1352.72
2017M05,Paises Nordicos,Viajeros,30.94
2017M05,Paises Nordicos,Pernoctaciones,57.61
2017M05,Italia,Viajeros,42.12
2017M05,Italia,Pernoctaciones,62.81
2017M05,Resto de UE,Viajeros,88.2
2017M05,Resto de UE,Pernoctaciones,139.2
2017M05,Resto de Europa,Viajeros,42.16
2017M05,Resto de Europa,Pernoctaciones,56.19
2017M05,Estados Unidos,Viajeros,
2017M05,Estados Unidos,Pernoctaciones,
2017M05,Resto de no residentes en Espańa,Viajeros,11.22
2017M05,Resto de no residentes en Espańa,Pernoctaciones,22.82
2017M05,Resto de America,Viajeros,
2017M05,Resto de America,Pernoctaciones,
2017M06,TOTAL,Viajeros,12615
2017M06,TOTAL,Pernoctaciones,26379
2017M06,RESIDENTES EN ESPAŃA,Viajeros,9660.37
2017M06,RESIDENTES EN ESPAŃA,Pernoctaciones,20782.91
2017M06,NO RESIDENTE EN ESPAŃA,Viajeros,2954.63
2017M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,5596.09
2017M06,Alemania,Viajeros,454.01
2017M06,Alemania,Pernoctaciones,742.84
2017M06,Francia,Viajeros,468.5
2017M06,Francia,Pernoctaciones,666.48
2017M06,Paises Bajos,Viajeros,578.51
2017M06,Paises Bajos,Pernoctaciones,1269.15
2017M06,Reino Unido,Viajeros,976.27
2017M06,Reino Unido,Pernoctaciones,1937.4
2017M06,Paises Nordicos,Viajeros,29.28
2017M06,Paises Nordicos,Pernoctaciones,124.35
2017M06,Italia,Viajeros,45.19
2017M06,Italia,Pernoctaciones,70.22
2017M06,Resto de UE,Viajeros,225.82
2017M06,Resto de UE,Pernoctaciones,479.27
2017M06,Resto de Europa,Viajeros,131.87
2017M06,Resto de Europa,Pernoctaciones,224.98
2017M06,Estados Unidos,Viajeros,6.11
2017M06,Estados Unidos,Pernoctaciones,5.59
2017M06,Resto de no residentes en Espańa,Viajeros,14.64
2017M06,Resto de no residentes en Espańa,Pernoctaciones,31.09
2017M06,Resto de America,Viajeros,24.44
2017M06,Resto de America,Pernoctaciones,44.72
2017M07,TOTAL,Viajeros,33535
2017M07,TOTAL,Pernoctaciones,92111
2017M07,RESIDENTES EN ESPAŃA,Viajeros,30711.66
2017M07,RESIDENTES EN ESPAŃA,Pernoctaciones,87592.84
2017M07,NO RESIDENTE EN ESPAŃA,Viajeros,2823.34
2017M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,4518.16
2017M07,Alemania,Viajeros,263.94
2017M07,Alemania,Pernoctaciones,455.24
2017M07,Francia,Viajeros,462.85
2017M07,Francia,Pernoctaciones,716.78
2017M07,Paises Bajos,Viajeros,1027.16
