Periodo,País de residencia,Medida,DATA
2017M04,Resto de Europa,Pernoctaciones,27.65
2017M04,Resto de no residentes en Espańa,Viajeros,
2017M04,Resto de no residentes en Espańa,Pernoctaciones,
2017M04,Alemania,Viajeros,96.79
2017M04,Alemania,Pernoctaciones,124.45
2017M04,Italia,Viajeros,
2017M04,Italia,Pernoctaciones,
2017M04,Paises Bajos,Viajeros,
2017M04,Paises Bajos,Pernoctaciones,
2017M04,Paises Nordicos,Viajeros,
2017M04,Paises Nordicos,Pernoctaciones,
2017M05,TOTAL,Viajeros,4085.17
2017M05,TOTAL,Pernoctaciones,8840.51
2017M05,RESIDENTES EN ESPAŃA,Viajeros,3253.75
2017M05,RESIDENTES EN ESPAŃA,Pernoctaciones,7568.81
2017M05,NO RESIDENTE EN ESPAŃA,Viajeros,831.42
2017M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1271.7
2017M05,Reino Unido,Viajeros,98.75
2017M05,Reino Unido,Pernoctaciones,141.45
2017M05,Resto de UE,Viajeros,156.57
2017M05,Resto de UE,Pernoctaciones,185.04
2017M05,Estados Unidos,Viajeros,131.22
2017M05,Estados Unidos,Pernoctaciones,248.2
2017M05,Resto de America,Viajeros,33.8
2017M05,Resto de America,Pernoctaciones,67.61
2017M05,Francia,Viajeros,161.91
2017M05,Francia,Pernoctaciones,309.58
2017M05,Resto de Europa,Viajeros,42.7
2017M05,Resto de Europa,Pernoctaciones,42.7
2017M05,Resto de no residentes en Espańa,Viajeros,157.55
2017M05,Resto de no residentes en Espańa,Pernoctaciones,200.62
2017M05,Alemania,Viajeros,20.46
2017M05,Alemania,Pernoctaciones,33.8
2017M05,Italia,Viajeros,14.23
2017M05,Italia,Pernoctaciones,28.47
2017M05,Paises Bajos,Viajeros,
2017M05,Paises Bajos,Pernoctaciones,
2017M05,Paises Nordicos,Viajeros,14.23
2017M05,Paises Nordicos,Pernoctaciones,14.23
2017M06,TOTAL,Viajeros,4481.73
2017M06,TOTAL,Pernoctaciones,9591.86
2017M06,RESIDENTES EN ESPAŃA,Viajeros,3964.77
2017M06,RESIDENTES EN ESPAŃA,Pernoctaciones,8429.36
2017M06,NO RESIDENTE EN ESPAŃA,Viajeros,516.96
2017M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1162.49
2017M06,Reino Unido,Viajeros,62.75
2017M06,Reino Unido,Pernoctaciones,104.58
2017M06,Resto de UE,Viajeros,76.69
2017M06,Resto de UE,Pernoctaciones,132.47
2017M06,Estados Unidos,Viajeros,55.78
2017M06,Estados Unidos,Pernoctaciones,125.5
2017M06,Resto de America,Viajeros,21.94
2017M06,Resto de America,Pernoctaciones,123.66
2017M06,Francia,Viajeros,55.78
2017M06,Francia,Pernoctaciones,195.22
2017M06,Resto de Europa,Viajeros,
2017M06,Resto de Europa,Pernoctaciones,
2017M06,Resto de no residentes en Espańa,Viajeros,41.83
2017M06,Resto de no residentes en Espańa,Pernoctaciones,111.55
2017M06,Alemania,Viajeros,132.47
2017M06,Alemania,Pernoctaciones,160.36
2017M06,Italia,Viajeros,55.78
2017M06,Italia,Pernoctaciones,153.38
2017M06,Paises Bajos,Viajeros,13.94
2017M06,Paises Bajos,Pernoctaciones,55.78
2017M06,Paises Nordicos,Viajeros,
2017M06,Paises Nordicos,Pernoctaciones,
2017M07,TOTAL,Viajeros,6252.16
2017M07,TOTAL,Pernoctaciones,15581.27
2017M07,RESIDENTES EN ESPAŃA,Viajeros,5509.87
2017M07,RESIDENTES EN ESPAŃA,Pernoctaciones,14082.13
2017M07,NO RESIDENTE EN ESPAŃA,Viajeros,742.29
2017M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1499.14
2017M07,Reino Unido,Viajeros,101.38
