Periodo,Categoría,Residencia viajero,DATA
2018M08,TOTAL,Residentes en Espańa,3537.27
2018M08,TOTAL,No residentes en Espańa,500.31
2018M08,1 Llave,TOTAL,3747.84
2018M08,1 Llave,Residentes en Espańa,3336.68
2018M08,1 Llave,No residentes en Espańa,411.16
2018M08,"2, 3 y 4 Llaves",TOTAL,289.74
2018M08,"2, 3 y 4 Llaves",Residentes en Espańa,200.59
2018M08,"2, 3 y 4 Llaves",No residentes en Espańa,89.15
2018M09,TOTAL,TOTAL,3654.68
2018M09,TOTAL,Residentes en Espańa,3209.18
2018M09,TOTAL,No residentes en Espańa,445.5
2018M09,1 Llave,TOTAL,3363.57
2018M09,1 Llave,Residentes en Espańa,2956.04
2018M09,1 Llave,No residentes en Espańa,407.53
2018M09,"2, 3 y 4 Llaves",TOTAL,291.11
2018M09,"2, 3 y 4 Llaves",Residentes en Espańa,253.14
2018M09,"2, 3 y 4 Llaves",No residentes en Espańa,37.97
2018M10,TOTAL,TOTAL,4056.49
2018M10,TOTAL,Residentes en Espańa,3548.21
2018M10,TOTAL,No residentes en Espańa,508.28
2018M10,1 Llave,TOTAL,3694.82
2018M10,1 Llave,Residentes en Espańa,3186.54
2018M10,1 Llave,No residentes en Espańa,508.28
2018M10,"2, 3 y 4 Llaves",TOTAL,361.67
2018M10,"2, 3 y 4 Llaves",Residentes en Espańa,361.67
2018M10,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M11,TOTAL,TOTAL,2638.37
2018M11,TOTAL,Residentes en Espańa,2576.91
2018M11,TOTAL,No residentes en Espańa,61.46
2018M11,1 Llave,TOTAL,2325.13
2018M11,1 Llave,Residentes en Espańa,2263.67
2018M11,1 Llave,No residentes en Espańa,61.46
2018M11,"2, 3 y 4 Llaves",TOTAL,313.24
2018M11,"2, 3 y 4 Llaves",Residentes en Espańa,313.24
2018M11,"2, 3 y 4 Llaves",No residentes en Espańa,
2018M12,TOTAL,TOTAL,3556.8
2018M12,TOTAL,Residentes en Espańa,3464.75
2018M12,TOTAL,No residentes en Espańa,92.06
2018M12,1 Llave,TOTAL,3300.7
2018M12,1 Llave,Residentes en Espańa,3208.64
2018M12,1 Llave,No residentes en Espańa,92.06
2018M12,"2, 3 y 4 Llaves",TOTAL,256.1
2018M12,"2, 3 y 4 Llaves",Residentes en Espańa,256.1
