Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T2,8739
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T3,9073
SECTOR TURÍSTICOS,REGIMEN GENERAL,2016T4,9171
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T1,9224
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T2,9267
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T3,9497
SECTOR TURÍSTICOS,REGIMEN GENERAL,2017T4,9428
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T1,9617
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T2,9626
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T3,9867
SECTOR TURÍSTICOS,REGIMEN GENERAL,2018T4,9719
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T1,10066
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T2,10235
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T3,10254
SECTOR TURÍSTICOS,REGIMEN GENERAL,2019T4,10138
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T1,8746
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T2,8406
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T3,8676
SECTOR TURÍSTICOS,REGIMEN GENERAL,2020T4,8297
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T1,8172
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T2,8339
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T3,8956
SECTOR TURÍSTICOS,REGIMEN GENERAL,2021T4,9452
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2011T2,3291
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2011T3,3301
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2011T4,3289
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T1,3292
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T2,3343
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T3,3371
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2012T4,3333
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T1,3315
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T2,4468
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T3,3374
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2013T4,3351
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T1,3369
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T2,3446
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T3,3432
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2014T4,3357
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T1,3343
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T2,3428
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T3,3408
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2015T4,3364
SECTOR TURÍSTICOS,REGIMEN ESPECIAL,2016T1,3371
