Grupo actividad sector turístico,Tipo de contrato,Periodo,DATA
SECTOR TURÍSTICOS,Temporal,2015T2,3180
SECTOR TURÍSTICOS,Temporal,2015T3,3082
SECTOR TURÍSTICOS,Temporal,2015T4,3092
SECTOR TURÍSTICOS,Temporal,2016T1,3061
SECTOR TURÍSTICOS,Temporal,2016T2,3230
SECTOR TURÍSTICOS,Temporal,2016T3,3330
SECTOR TURÍSTICOS,Temporal,2016T4,3261
SECTOR TURÍSTICOS,Temporal,2017T1,3242
SECTOR TURÍSTICOS,Temporal,2017T2,3483
SECTOR TURÍSTICOS,Temporal,2017T3,3484
SECTOR TURÍSTICOS,Temporal,2017T4,3255
SECTOR TURÍSTICOS,Temporal,2018T1,3301
SECTOR TURÍSTICOS,Temporal,2018T2,3564
SECTOR TURÍSTICOS,Temporal,2018T3,3452
SECTOR TURÍSTICOS,Temporal,2018T4,3178
SECTOR TURÍSTICOS,Temporal,2019T1,3443
SECTOR TURÍSTICOS,Temporal,2019T2,3952
SECTOR TURÍSTICOS,Temporal,2019T3,3719
SECTOR TURÍSTICOS,Temporal,2019T4,3345
SECTOR TURÍSTICOS,Temporal,2020T1,2286
SECTOR TURÍSTICOS,Temporal,2020T2,2229
SECTOR TURÍSTICOS,Temporal,2020T3,2372
SECTOR TURÍSTICOS,Temporal,2020T4,2103
SECTOR TURÍSTICOS,Temporal,2021T1,2024
SECTOR TURÍSTICOS,Temporal,2021T2,2504
SECTOR TURÍSTICOS,Temporal,2021T3,2919
SECTOR TURÍSTICOS,Temporal,2021T4,3080
SECTOR TURÍSTICOS,Sin especificar,2011T2,3336
SECTOR TURÍSTICOS,Sin especificar,2011T3,3356
SECTOR TURÍSTICOS,Sin especificar,2011T4,3340
SECTOR TURÍSTICOS,Sin especificar,2012T1,3344
SECTOR TURÍSTICOS,Sin especificar,2012T2,3404
SECTOR TURÍSTICOS,Sin especificar,2012T3,3434
SECTOR TURÍSTICOS,Sin especificar,2012T4,3381
SECTOR TURÍSTICOS,Sin especificar,2013T1,3365
SECTOR TURÍSTICOS,Sin especificar,2013T2,4511
SECTOR TURÍSTICOS,Sin especificar,2013T3,3420
SECTOR TURÍSTICOS,Sin especificar,2013T4,3389
SECTOR TURÍSTICOS,Sin especificar,2014T1,3408
SECTOR TURÍSTICOS,Sin especificar,2014T2,3466
SECTOR TURÍSTICOS,Sin especificar,2014T3,3474
SECTOR TURÍSTICOS,Sin especificar,2014T4,3400
SECTOR TURÍSTICOS,Sin especificar,2015T1,3362
SECTOR TURÍSTICOS,Sin especificar,2015T2,3452
SECTOR TURÍSTICOS,Sin especificar,2015T3,3433
SECTOR TURÍSTICOS,Sin especificar,2015T4,3382
