Periodo,Tarifa,Variable,DATA
2020M08,Fin de semana,Índice,112.13
2020M08,Fin de semana,Var (%) anual,-1.93
2020M09,TOTAL,Índice,135.47
2020M09,TOTAL,Var (%) anual,-8.43
2020M09,Normal,Índice,131.39
2020M09,Normal,Var (%) anual,-12.87
2020M09,Fin de semana,Índice,91
2020M09,Fin de semana,Var (%) anual,-4.19
2020M10,TOTAL,Índice,118.25
2020M10,TOTAL,Var (%) anual,-6.83
2020M10,Normal,Índice,119.49
2020M10,Normal,Var (%) anual,-9.65
2020M10,Fin de semana,Índice,112.37
2020M10,Fin de semana,Var (%) anual,-5.07
2020M11,TOTAL,Índice,119.27
2020M11,TOTAL,Var (%) anual,1.55
2020M11,Normal,Índice,121.34
2020M11,Normal,Var (%) anual,3.33
2020M11,Fin de semana,Índice,131.17
2020M11,Fin de semana,Var (%) anual,1.23
2020M12,TOTAL,Índice,122.72
2020M12,TOTAL,Var (%) anual,-2.47
2020M12,Normal,Índice,121.87
2020M12,Normal,Var (%) anual,-2.64
2020M12,Fin de semana,Índice,91.6
2020M12,Fin de semana,Var (%) anual,-2.33
2021M01,TOTAL,Índice,137.64
2021M01,TOTAL,Var (%) anual,-8.42
2021M01,Normal,Índice,113.29
2021M01,Normal,Var (%) anual,-6.95
2021M01,Fin de semana,Índice,117.13
2021M01,Fin de semana,Var (%) anual,-9.52
2021M02,TOTAL,Índice,145.23
2021M02,TOTAL,Var (%) anual,-8.06
2021M02,Normal,Índice,136.14
2021M02,Normal,Var (%) anual,-10.66
2021M02,Fin de semana,Índice,115.22
2021M02,Fin de semana,Var (%) anual,-6.76
2021M03,TOTAL,Índice,144.31
2021M03,TOTAL,Var (%) anual,-5.65
2021M03,Normal,Índice,138.63
2021M03,Normal,Var (%) anual,-3.47
2021M03,Fin de semana,Índice,106.96
2021M03,Fin de semana,Var (%) anual,-8.48
2021M04,TOTAL,Índice,122.99
2021M04,TOTAL,Var (%) anual,-3.59
2021M04,Normal,Índice,128.22
2021M04,Normal,Var (%) anual,-2.52
2021M04,Fin de semana,Índice,102.01
2021M04,Fin de semana,Var (%) anual,-4.83
2021M05,TOTAL,Índice,137.23
2021M05,TOTAL,Var (%) anual,0
2021M05,Normal,Índice,136.84
2021M05,Normal,Var (%) anual,0
2021M05,Fin de semana,Índice,107.34
2021M05,Fin de semana,Var (%) anual,0
2021M06,TOTAL,Índice,111.49
2021M06,TOTAL,Var (%) anual,0
2021M06,Normal,Índice,117.36
2021M06,Normal,Var (%) anual,0
2021M06,Fin de semana,Índice,90.42
2021M06,Fin de semana,Var (%) anual,0
2021M07,TOTAL,Índice,124.21
2021M07,TOTAL,Var (%) anual,-1.91
2021M07,Normal,Índice,124.51
2021M07,Normal,Var (%) anual,-1.11
2021M07,Fin de semana,Índice,113.57
2021M07,Fin de semana,Var (%) anual,-3.06
2021M08,TOTAL,Índice,123.57
2021M08,TOTAL,Var (%) anual,6.73
2021M08,Normal,Índice,121.2
2021M08,Normal,Var (%) anual,6.98
2021M08,Fin de semana,Índice,118.89
2021M08,Fin de semana,Var (%) anual,6.03
2021M09,TOTAL,Índice,139.46
2021M09,TOTAL,Var (%) anual,2.95
2021M09,Normal,Índice,134
2021M09,Normal,Var (%) anual,1.99
2021M09,Fin de semana,Índice,95.83
2021M09,Fin de semana,Var (%) anual,5.3
2021M10,TOTAL,Índice,122.63
2021M10,TOTAL,Var (%) anual,3.71
2021M10,Normal,Índice,122.34
2021M10,Normal,Var (%) anual,2.38
2021M10,Fin de semana,Índice,118.27
2021M10,Fin de semana,Var (%) anual,5.25
2021M11,TOTAL,Índice,123.2
2021M11,TOTAL,Var (%) anual,3.29
2021M11,Normal,Índice,124.94
2021M11,Normal,Var (%) anual,2.97
2021M11,Fin de semana,Índice,142.17
2021M11,Fin de semana,Var (%) anual,8.39
2021M12,TOTAL,Índice,123.55
2021M12,TOTAL,Var (%) anual,0.67
2021M12,Normal,Índice,121.4
2021M12,Normal,Var (%) anual,-0.38
2021M12,Fin de semana,Índice,94.03
2021M12,Fin de semana,Var (%) anual,2.66
2022M01,TOTAL,Índice,124.59
2022M01,TOTAL,Var (%) anual,-9.48
2022M01,Normal,Índice,101.71
2022M01,Normal,Var (%) anual,-10.22
2022M01,Fin de semana,Índice,107.17
2022M01,Fin de semana,Var (%) anual,-8.5
2022M02,TOTAL,Índice,143.3
2022M02,TOTAL,Var (%) anual,-1.33
2022M02,Normal,Índice,131.44
2022M02,Normal,Var (%) anual,-3.45
