Periodo,CCAA de residencia,Medida,DATA
2016M05,RESIDENTES EN ESPAŃA,Pernoctaciones,5830.02
2016M05,Andalucía,Viajeros,52.17
2016M05,Andalucía,Pernoctaciones,101.73
2016M05,Aragón,Viajeros,86.08
2016M05,Aragón,Pernoctaciones,219.11
2016M05,"Asturias, Principado de",Viajeros,15.65
2016M05,"Asturias, Principado de",Pernoctaciones,93.91
2016M05,"Balears, Illes",Viajeros,
2016M05,"Balears, Illes",Pernoctaciones,
2016M05,Cantabria,Viajeros,26.09
2016M05,Cantabria,Pernoctaciones,52.17
2016M05,Castilla y León,Viajeros,156.51
2016M05,Castilla y León,Pernoctaciones,344.32
2016M05,Castilla - La Mancha,Viajeros,54.78
2016M05,Castilla - La Mancha,Pernoctaciones,117.38
2016M05,Cataluńa,Viajeros,490.4
2016M05,Cataluńa,Pernoctaciones,933.85
2016M05,Comunitat Valenciana,Viajeros,67.82
2016M05,Comunitat Valenciana,Pernoctaciones,104.34
2016M05,Extremadura,Viajeros,
2016M05,Extremadura,Pernoctaciones,
2016M05,Galicia,Viajeros,33.91
2016M05,Galicia,Pernoctaciones,138.25
2016M05,"Madrid, Comunidad de",Viajeros,879.07
2016M05,"Madrid, Comunidad de",Pernoctaciones,1982.47
2016M05,"Murcia, Región de",Viajeros,
2016M05,"Murcia, Región de",Pernoctaciones,
2016M05,"Navarra, Comunidad Foral de",Viajeros,122.6
2016M05,"Navarra, Comunidad Foral de",Pernoctaciones,198.25
2016M05,País Vasco,Viajeros,568.66
2016M05,País Vasco,Pernoctaciones,993.84
2016M05,"Rioja, La",Viajeros,273.89
2016M05,"Rioja, La",Pernoctaciones,534.74
2016M05,Canarias,Viajeros,10.43
2016M05,Canarias,Pernoctaciones,15.65
2016M05,Ceuta,Viajeros,
2016M05,Ceuta,Pernoctaciones,
2016M05,Melilla,Viajeros,
2016M05,Melilla,Pernoctaciones,
2016M06,TOTAL,Viajeros,2258.43
2016M06,TOTAL,Pernoctaciones,4440.25
2016M06,NO RESIDENTE EN ESPAŃA,Viajeros,263.53
2016M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,484.17
2016M06,RESIDENTES EN ESPAŃA,Viajeros,1994.9
2016M06,RESIDENTES EN ESPAŃA,Pernoctaciones,3956.08
2016M06,Andalucía,Viajeros,
2016M06,Andalucía,Pernoctaciones,
2016M06,Aragón,Viajeros,104.19
2016M06,Aragón,Pernoctaciones,147.09
2016M06,"Asturias, Principado de",Viajeros,
2016M06,"Asturias, Principado de",Pernoctaciones,
2016M06,"Balears, Illes",Viajeros,
2016M06,"Balears, Illes",Pernoctaciones,
2016M06,Cantabria,Viajeros,18.39
2016M06,Cantabria,Pernoctaciones,24.51
2016M06,Castilla y León,Viajeros,52.09
2016M06,Castilla y León,Pernoctaciones,91.93
2016M06,Castilla - La Mancha,Viajeros,9.19
2016M06,Castilla - La Mancha,Pernoctaciones,9.19
2016M06,Cataluńa,Viajeros,248.21
2016M06,Cataluńa,Pernoctaciones,517.88
2016M06,Comunitat Valenciana,Viajeros,116.45
2016M06,Comunitat Valenciana,Pernoctaciones,257.41
