Periodo,Categoría,DATA
2023M04,1 y 2 estrellas,18.62
2023M04,Hostales y pensiones,77.65
2023M05,TOTAL,147.84
2023M05,4 y 5 estrellas,17.31
2023M05,3 estrellas,33.13
2023M05,1 y 2 estrellas,19.4
2023M05,Hostales y pensiones,78
2023M06,TOTAL,146.61
2023M06,4 y 5 estrellas,17.46
2023M06,3 estrellas,32.97
2023M06,1 y 2 estrellas,19.8
2023M06,Hostales y pensiones,76.41
2023M07,TOTAL,152.63
2023M07,4 y 5 estrellas,18.7
2023M07,3 estrellas,32.8
2023M07,1 y 2 estrellas,19.56
2023M07,Hostales y pensiones,81.58
2023M08,TOTAL,151.21
2023M08,4 y 5 estrellas,18.72
2023M08,3 estrellas,32.64
2023M08,1 y 2 estrellas,18.43
2023M08,Hostales y pensiones,81.43
2023M09,TOTAL,153.62
2023M09,4 y 5 estrellas,18.72
2023M09,3 estrellas,33.3
2023M09,1 y 2 estrellas,19.52
2023M09,Hostales y pensiones,82.09
2023M10,TOTAL,150.6
2023M10,4 y 5 estrellas,18.87
2023M10,3 estrellas,33.09
2023M10,1 y 2 estrellas,19.68
2023M10,Hostales y pensiones,78.96
2023M11,TOTAL,146.42
2023M11,4 y 5 estrellas,18.45
2023M11,3 estrellas,32.82
2023M11,1 y 2 estrellas,19
2023M11,Hostales y pensiones,76.16
2023M12,TOTAL,130
2023M12,4 y 5 estrellas,18.04
2023M12,3 estrellas,28.61
2023M12,1 y 2 estrellas,15.78
2023M12,Hostales y pensiones,67.59
2024M01,TOTAL,112.05
2024M01,4 y 5 estrellas,15.11
2024M01,3 estrellas,24.36
2024M01,1 y 2 estrellas,13.7
2024M01,Hostales y pensiones,58.9
2024M02,TOTAL,130.66
2024M02,4 y 5 estrellas,18
2024M02,3 estrellas,24.84
2024M02,1 y 2 estrellas,18.78
2024M02,Hostales y pensiones,69.04
2024M03,TOTAL,157.93
2024M03,4 y 5 estrellas,19.42
2024M03,3 estrellas,30.65
2024M03,1 y 2 estrellas,19.91
2024M03,Hostales y pensiones,87.96
