Periodo,Categoría,Residencia viajero,DATA,Fecha
2016M04,1 y 2 estrellas,TOTAL,219857,2016-04-01
2016M04,1 y 2 estrellas,Residentes en Espańa,194143,2016-04-01
2016M04,1 y 2 estrellas,No residentes en Espańa,25714,2016-04-01
2016M04,Hostales y pensiones,TOTAL,62124,2016-04-01
2016M04,Hostales y pensiones,Residentes en Espańa,49552,2016-04-01
2016M04,Hostales y pensiones,No residentes en Espańa,125721,2016-04-01
2016M05,TOTAL,TOTAL,5763401,2016-05-01
2016M05,TOTAL,Residentes en Espańa,4060046,2016-05-01
2016M05,TOTAL,No residentes en Espańa,1703355,2016-05-01
2016M05,4 y 5 estrellas,TOTAL,13911,2016-05-01
2016M05,4 y 5 estrellas,Residentes en Espańa,1020772,2016-05-01
2016M05,4 y 5 estrellas,No residentes en Espańa,370328,2016-05-01
2016M05,3 estrellas,TOTAL,29471,2016-05-01
2016M05,3 estrellas,Residentes en Espańa,2130172,2016-05-01
2016M05,3 estrellas,No residentes en Espańa,816928,2016-05-01
2016M05,1 y 2 estrellas,TOTAL,280771,2016-05-01
2016M05,1 y 2 estrellas,Residentes en Espańa,234271,2016-05-01
2016M05,1 y 2 estrellas,No residentes en Espańa,465,2016-05-01
2016M05,Hostales y pensiones,TOTAL,1144429,2016-05-01
2016M05,Hostales y pensiones,Residentes en Espańa,674831,2016-05-01
2016M05,Hostales y pensiones,No residentes en Espańa,469598,2016-05-01
2016M06,TOTAL,TOTAL,5030705,2016-06-01
2016M06,TOTAL,Residentes en Espańa,3658964,2016-06-01
2016M06,TOTAL,No residentes en Espańa,1371741,2016-06-01
2016M06,4 y 5 estrellas,TOTAL,15786,2016-06-01
2016M06,4 y 5 estrellas,Residentes en Espańa,1148238,2016-06-01
2016M06,4 y 5 estrellas,No residentes en Espańa,430362,2016-06-01
2016M06,3 estrellas,TOTAL,25629,2016-06-01
2016M06,3 estrellas,Residentes en Espańa,1864127,2016-06-01
2016M06,3 estrellas,No residentes en Espańa,698773,2016-06-01
2016M06,1 y 2 estrellas,TOTAL,250387,2016-06-01
