Periodo,Categoría,Residencia viajero,DATA
2016M09,TOTAL,Residentes en Espańa,76578.97
2016M09,TOTAL,No residentes en Espańa,31476.72
2016M09,4 y 5 estrellas,TOTAL,30746
2016M09,4 y 5 estrellas,Residentes en Espańa,22398.56
2016M09,4 y 5 estrellas,No residentes en Espańa,8347.44
2016M09,3 estrellas,TOTAL,53977
2016M09,3 estrellas,Residentes en Espańa,37278.37
2016M09,3 estrellas,No residentes en Espańa,16698.63
2016M09,1 y 2 estrellas,TOTAL,5640
2016M09,1 y 2 estrellas,Residentes en Espańa,4465.71
2016M09,1 y 2 estrellas,No residentes en Espańa,1174.29
2016M09,Hostales y pensiones,TOTAL,17692.69
2016M09,Hostales y pensiones,Residentes en Espańa,12436.33
2016M09,Hostales y pensiones,No residentes en Espańa,5256.36
2016M10,TOTAL,TOTAL,107336.11
2016M10,TOTAL,Residentes en Espańa,82777.35
2016M10,TOTAL,No residentes en Espańa,24558.76
2016M10,4 y 5 estrellas,TOTAL,31031
2016M10,4 y 5 estrellas,Residentes en Espańa,23218.03
2016M10,4 y 5 estrellas,No residentes en Espańa,7812.97
2016M10,3 estrellas,TOTAL,54331
2016M10,3 estrellas,Residentes en Espańa,41829.12
2016M10,3 estrellas,No residentes en Espańa,12501.88
2016M10,1 y 2 estrellas,TOTAL,4827.14
2016M10,1 y 2 estrellas,Residentes en Espańa,3799.71
2016M10,1 y 2 estrellas,No residentes en Espańa,1027.43
2016M10,Hostales y pensiones,TOTAL,17146.97
2016M10,Hostales y pensiones,Residentes en Espańa,13930.48
2016M10,Hostales y pensiones,No residentes en Espańa,3216.49
2016M11,TOTAL,TOTAL,69734.9
2016M11,TOTAL,Residentes en Espańa,61232.92
2016M11,TOTAL,No residentes en Espańa,8501.98
2016M11,4 y 5 estrellas,TOTAL,20831
2016M11,4 y 5 estrellas,Residentes en Espańa,17958.91
2016M11,4 y 5 estrellas,No residentes en Espańa,2872.09
2016M11,3 estrellas,TOTAL,35452
2016M11,3 estrellas,Residentes en Espańa,30458.23
2016M11,3 estrellas,No residentes en Espańa,4993.77
2016M11,1 y 2 estrellas,TOTAL,2845.71
2016M11,1 y 2 estrellas,Residentes en Espańa,2747.14
2016M11,1 y 2 estrellas,No residentes en Espańa,98.57
2016M11,Hostales y pensiones,TOTAL,10606.19
2016M11,Hostales y pensiones,Residentes en Espańa,10068.64
2016M11,Hostales y pensiones,No residentes en Espańa,537.55
2016M12,TOTAL,TOTAL,68996.18
2016M12,TOTAL,Residentes en Espańa,63034.06
2016M12,TOTAL,No residentes en Espańa,5962.12
2016M12,4 y 5 estrellas,TOTAL,20648
2016M12,4 y 5 estrellas,Residentes en Espańa,18791.42
2016M12,4 y 5 estrellas,No residentes en Espańa,1856.58
2016M12,3 estrellas,TOTAL,32470
2016M12,3 estrellas,Residentes en Espańa,29138.03
2016M12,3 estrellas,No residentes en Espańa,3331.97
2016M12,1 y 2 estrellas,TOTAL,1810.65
2016M12,1 y 2 estrellas,Residentes en Espańa,1780.57
2016M12,1 y 2 estrellas,No residentes en Espańa,30.09
2016M12,Hostales y pensiones,TOTAL,14067.53
2016M12,Hostales y pensiones,Residentes en Espańa,13324.04
2016M12,Hostales y pensiones,No residentes en Espańa,743.49
2017M01,TOTAL,TOTAL,47017.81
2017M01,TOTAL,Residentes en Espańa,41016.33
2017M01,TOTAL,No residentes en Espańa,6001.48
2017M01,4 y 5 estrellas,TOTAL,16533
2017M01,4 y 5 estrellas,Residentes en Espańa,14341.3
2017M01,4 y 5 estrellas,No residentes en Espańa,2191.7
2017M01,3 estrellas,TOTAL,23650
2017M01,3 estrellas,Residentes en Espańa,20280.07
2017M01,3 estrellas,No residentes en Espańa,3369.93
2017M01,1 y 2 estrellas,TOTAL,1457
2017M01,1 y 2 estrellas,Residentes en Espańa,1315.29
2017M01,1 y 2 estrellas,No residentes en Espańa,141.71
2017M01,Hostales y pensiones,TOTAL,5377.81
2017M01,Hostales y pensiones,Residentes en Espańa,5079.68
2017M01,Hostales y pensiones,No residentes en Espańa,298.13
2017M02,TOTAL,TOTAL,55405.12
2017M02,TOTAL,Residentes en Espańa,49768.5
2017M02,TOTAL,No residentes en Espańa,5636.63
2017M02,4 y 5 estrellas,TOTAL,16624
2017M02,4 y 5 estrellas,Residentes en Espańa,15071.67
2017M02,4 y 5 estrellas,No residentes en Espańa,1552.33
2017M02,3 estrellas,TOTAL,29116
2017M02,3 estrellas,Residentes en Espańa,25640.09
2017M02,3 estrellas,No residentes en Espańa,3475.91
2017M02,1 y 2 estrellas,TOTAL,2148
2017M02,1 y 2 estrellas,Residentes en Espańa,1984
2017M02,1 y 2 estrellas,No residentes en Espańa,164
2017M02,Hostales y pensiones,TOTAL,7517.12
2017M02,Hostales y pensiones,Residentes en Espańa,7072.74
2017M02,Hostales y pensiones,No residentes en Espańa,444.38
2017M03,TOTAL,TOTAL,71511.82
2017M03,TOTAL,Residentes en Espańa,63254.36
2017M03,TOTAL,No residentes en Espańa,8257.46
2017M03,4 y 5 estrellas,TOTAL,20467
2017M03,4 y 5 estrellas,Residentes en Espańa,17999.89
2017M03,4 y 5 estrellas,No residentes en Espańa,2467.11
2017M03,3 estrellas,TOTAL,37853
2017M03,3 estrellas,Residentes en Espańa,33232.21
2017M03,3 estrellas,No residentes en Espańa,4620.79
2017M03,1 y 2 estrellas,TOTAL,3352.43
2017M03,1 y 2 estrellas,Residentes en Espańa,3051.29
2017M03,1 y 2 estrellas,No residentes en Espańa,301.14
2017M03,Hostales y pensiones,TOTAL,9839.39
2017M03,Hostales y pensiones,Residentes en Espańa,8970.98
2017M03,Hostales y pensiones,No residentes en Espańa,868.42
2017M04,TOTAL,TOTAL,98060.87
2017M04,TOTAL,Residentes en Espańa,81589.44
2017M04,TOTAL,No residentes en Espańa,16471.43
2017M04,4 y 5 estrellas,TOTAL,28137
2017M04,4 y 5 estrellas,Residentes en Espańa,24233.26
2017M04,4 y 5 estrellas,No residentes en Espańa,3903.74
2017M04,3 estrellas,TOTAL,48668
2017M04,3 estrellas,Residentes en Espańa,40092.65
2017M04,3 estrellas,No residentes en Espańa,8575.35
2017M04,1 y 2 estrellas,TOTAL,5194.29
2017M04,1 y 2 estrellas,Residentes en Espańa,4684.29
2017M04,1 y 2 estrellas,No residentes en Espańa,510
2017M04,Hostales y pensiones,TOTAL,16061.58
2017M04,Hostales y pensiones,Residentes en Espańa,12579.25
2017M04,Hostales y pensiones,No residentes en Espańa,3482.33
2017M05,TOTAL,TOTAL,91586.02
2017M05,TOTAL,Residentes en Espańa,63699.45
2017M05,TOTAL,No residentes en Espańa,27886.57
2017M05,4 y 5 estrellas,TOTAL,27300
2017M05,4 y 5 estrellas,Residentes en Espańa,18637.75
2017M05,4 y 5 estrellas,No residentes en Espańa,8662.25
2017M05,3 estrellas,TOTAL,47753
2017M05,3 estrellas,Residentes en Espańa,33361.42
2017M05,3 estrellas,No residentes en Espańa,14391.58
2017M05,1 y 2 estrellas,TOTAL,3693.43
2017M05,1 y 2 estrellas,Residentes en Espańa,2949.43
2017M05,1 y 2 estrellas,No residentes en Espańa,744
2017M05,Hostales y pensiones,TOTAL,12839.59
2017M05,Hostales y pensiones,Residentes en Espańa,8750.85
2017M05,Hostales y pensiones,No residentes en Espańa,4088.74
2017M06,TOTAL,TOTAL,94310.14
2017M06,TOTAL,Residentes en Espańa,70943.51
2017M06,TOTAL,No residentes en Espańa,23366.63
2017M06,4 y 5 estrellas,TOTAL,28198
2017M06,4 y 5 estrellas,Residentes en Espańa,21426.1
2017M06,4 y 5 estrellas,No residentes en Espańa,6771.9
2017M06,3 estrellas,TOTAL,47721
2017M06,3 estrellas,Residentes en Espańa,35416.98
2017M06,3 estrellas,No residentes en Espańa,12304.02
2017M06,1 y 2 estrellas,TOTAL,3904.29
2017M06,1 y 2 estrellas,Residentes en Espańa,3287.14
2017M06,1 y 2 estrellas,No residentes en Espańa,617.14
2017M06,Hostales y pensiones,TOTAL,14486.86
2017M06,Hostales y pensiones,Residentes en Espańa,10813.29
2017M06,Hostales y pensiones,No residentes en Espańa,3673.57
2017M07,TOTAL,TOTAL,99293.96
2017M07,TOTAL,Residentes en Espańa,80385.58
2017M07,TOTAL,No residentes en Espańa,18908.39
2017M07,4 y 5 estrellas,TOTAL,30761
2017M07,4 y 5 estrellas,Residentes en Espańa,24943.36
2017M07,4 y 5 estrellas,No residentes en Espańa,5817.64
2017M07,3 estrellas,TOTAL,47912.44
2017M07,3 estrellas,Residentes en Espańa,37973.2
2017M07,3 estrellas,No residentes en Espańa,9939.25
2017M07,1 y 2 estrellas,TOTAL,5035.29
2017M07,1 y 2 estrellas,Residentes en Espańa,4588
2017M07,1 y 2 estrellas,No residentes en Espańa,447.29
2017M07,Hostales y pensiones,TOTAL,15585.23
2017M07,Hostales y pensiones,Residentes en Espańa,12881.02
2017M07,Hostales y pensiones,No residentes en Espańa,2704.21
2017M08,TOTAL,TOTAL,131789.35
2017M08,TOTAL,Residentes en Espańa,113515.02
2017M08,TOTAL,No residentes en Espańa,18274.33
2017M08,4 y 5 estrellas,TOTAL,39930
2017M08,4 y 5 estrellas,Residentes en Espańa,34296.09
2017M08,4 y 5 estrellas,No residentes en Espańa,5633.91
2017M08,3 estrellas,TOTAL,65697
2017M08,3 estrellas,Residentes en Espańa,56116.98
2017M08,3 estrellas,No residentes en Espańa,9580.02
2017M08,1 y 2 estrellas,TOTAL,7417.86
2017M08,1 y 2 estrellas,Residentes en Espańa,6430.29
2017M08,1 y 2 estrellas,No residentes en Espańa,987.57
2017M08,Hostales y pensiones,TOTAL,18744.49
2017M08,Hostales y pensiones,Residentes en Espańa,16671.67
2017M08,Hostales y pensiones,No residentes en Espańa,2072.81
2017M09,TOTAL,TOTAL,114190.12
2017M09,TOTAL,Residentes en Espańa,83379.86
2017M09,TOTAL,No residentes en Espańa,30810.26
2017M09,4 y 5 estrellas,TOTAL,34327
2017M09,4 y 5 estrellas,Residentes en Espańa,26587.81
2017M09,4 y 5 estrellas,No residentes en Espańa,7739.19
2017M09,3 estrellas,TOTAL,57424.01
2017M09,3 estrellas,Residentes en Espańa,39897.21
2017M09,3 estrellas,No residentes en Espańa,17526.8
2017M09,1 y 2 estrellas,TOTAL,5168.57
2017M09,1 y 2 estrellas,Residentes en Espańa,4320
2017M09,1 y 2 estrellas,No residentes en Espańa,848.57
2017M09,Hostales y pensiones,TOTAL,17270.53
2017M09,Hostales y pensiones,Residentes en Espańa,12574.84
2017M09,Hostales y pensiones,No residentes en Espańa,4695.69
2017M10,TOTAL,TOTAL,97292.09
2017M10,TOTAL,Residentes en Espańa,79695.28
2017M10,TOTAL,No residentes en Espańa,17596.82
2017M10,4 y 5 estrellas,TOTAL,30931
2017M10,4 y 5 estrellas,Residentes en Espańa,25296.68
2017M10,4 y 5 estrellas,No residentes en Espańa,5634.32
2017M10,3 estrellas,TOTAL,48134
2017M10,3 estrellas,Residentes en Espańa,38567.38
2017M10,3 estrellas,No residentes en Espańa,9566.62
2017M10,1 y 2 estrellas,TOTAL,5128.36
2017M10,1 y 2 estrellas,Residentes en Espańa,4727.07
2017M10,1 y 2 estrellas,No residentes en Espańa,401.29
2017M10,Hostales y pensiones,TOTAL,13098.74
2017M10,Hostales y pensiones,Residentes en Espańa,11104.15
