Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA
1999M06,HOTELES,Pernoctaciones,Espańa,TOTAL,24313223.0
1999M06,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,6938607.0
1999M06,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,17374616.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,7058.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,5704.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,1354.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,516861.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,347140.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,169721.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,12467.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,10204.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,2263.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,2109354.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,1148885.0
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,960469.0
1999M06,Camping,Viajeros,La Rioja,TOTAL,7058.0
1999M06,Camping,Viajeros,La Rioja,Residentes en Espańa,5704.0
1999M06,Camping,Viajeros,La Rioja,No residentes en Espańa,1354.0
1999M06,Camping,Viajeros,Espańa,TOTAL,516861.0
1999M06,Camping,Viajeros,Espańa,Residentes en Espańa,347140.0
1999M06,Camping,Viajeros,Espańa,No residentes en Espańa,169721.0
1999M06,Camping,Pernoctaciones,La Rioja,TOTAL,12467.0
1999M06,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,10204.0
1999M06,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,2263.0
1999M06,Camping,Pernoctaciones,Espańa,TOTAL,2109354.0
1999M06,Camping,Pernoctaciones,Espańa,Residentes en Espańa,1148885.0
1999M06,Camping,Pernoctaciones,Espańa,No residentes en Espańa,960469.0
1999M07,TOTAL,Viajeros,La Rioja,TOTAL,51951.0
1999M07,TOTAL,Viajeros,La Rioja,Residentes en Espańa,42178.0
1999M07,TOTAL,Viajeros,La Rioja,No residentes en Espańa,9773.0
1999M07,TOTAL,Viajeros,Espańa,TOTAL,7716448.0
1999M07,TOTAL,Viajeros,Espańa,Residentes en Espańa,4092295.0
1999M07,TOTAL,Viajeros,Espańa,No residentes en Espańa,3624153.0
1999M07,TOTAL,Pernoctaciones,La Rioja,TOTAL,109950.0
1999M07,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,96968.0
1999M07,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,12982.0
1999M07,TOTAL,Pernoctaciones,Espańa,TOTAL,35320910.0
1999M07,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,12897590.0
1999M07,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,22423320.0
1999M07,HOTELES,Viajeros,La Rioja,TOTAL,36880.0
1999M07,HOTELES,Viajeros,La Rioja,Residentes en Espańa,29565.0
1999M07,HOTELES,Viajeros,La Rioja,No residentes en Espańa,7315.0
1999M07,HOTELES,Viajeros,Espańa,TOTAL,6415298.0
1999M07,HOTELES,Viajeros,Espańa,Residentes en Espańa,3300631.0
1999M07,HOTELES,Viajeros,Espańa,No residentes en Espańa,3114667.0
1999M07,HOTELES,Pernoctaciones,La Rioja,TOTAL,65150.0
1999M07,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,55906.0
1999M07,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,9244.0
1999M07,HOTELES,Pernoctaciones,Espańa,TOTAL,28531433.0
1999M07,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,9484027.0
1999M07,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,19047406.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,15071.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,12613.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,2458.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,1301150.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,791664.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,509486.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,44800.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,41062.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,3738.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,6789477.0
1999M07,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,3413563.0
