Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA,Fecha
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,690,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,1306788,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,928085,1999-04-01
1999M04,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,378703,1999-04-01
1999M04,Camping,Viajeros,La Rioja,TOTAL,4929,1999-04-01
1999M04,Camping,Viajeros,La Rioja,Residentes en Espańa,4603,1999-04-01
1999M04,Camping,Viajeros,La Rioja,No residentes en Espańa,326,1999-04-01
1999M04,Camping,Viajeros,Espańa,TOTAL,341399,1999-04-01
1999M04,Camping,Viajeros,Espańa,Residentes en Espańa,273482,1999-04-01
1999M04,Camping,Viajeros,Espańa,No residentes en Espańa,67917,1999-04-01
1999M04,Camping,Pernoctaciones,La Rioja,TOTAL,14327,1999-04-01
1999M04,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,13637,1999-04-01
1999M04,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,690,1999-04-01
1999M04,Camping,Pernoctaciones,Espańa,TOTAL,1306788,1999-04-01
1999M04,Camping,Pernoctaciones,Espańa,Residentes en Espańa,928085,1999-04-01
1999M04,Camping,Pernoctaciones,Espańa,No residentes en Espańa,378703,1999-04-01
1999M05,TOTAL,Viajeros,La Rioja,TOTAL,41261,1999-05-01
1999M05,TOTAL,Viajeros,La Rioja,Residentes en Espańa,31637,1999-05-01
1999M05,TOTAL,Viajeros,La Rioja,No residentes en Espańa,9624,1999-05-01
1999M05,TOTAL,Viajeros,Espańa,TOTAL,6045124,1999-05-01
1999M05,TOTAL,Viajeros,Espańa,Residentes en Espańa,2922654,1999-05-01
1999M05,TOTAL,Viajeros,Espańa,No residentes en Espańa,3122470,1999-05-01
