Periodo,Tipo de establecimiento,CCAA,DATA,Fecha
2005M02,Apartamentos,La Rioja,20.50,2005-02-01
2005M02,Apartamentos,Espańa,83.20,2005-02-01
2005M03,Hoteles,La Rioja,18.60,2005-03-01
2005M03,Hoteles,Espańa,30.80,2005-03-01
2005M03,Camping,La Rioja,32.20,2005-03-01
2005M03,Camping,Espańa,46.40,2005-03-01
2005M03,Turismo Rural,La Rioja,31.60,2005-03-01
2005M03,Turismo Rural,Espańa,30.90,2005-03-01
2005M03,Apartamentos,La Rioja,25.90,2005-03-01
2005M03,Apartamentos,Espańa,84.60,2005-03-01
