Periodo,Ubicación establecimiento,Grado de ocupación,DATA
2018M10,TOTAL,Grado de ocupación por plazas,23.38
2018M10,TOTAL,Grado de ocupacion por plazas fin de semana,61.08
2018M10,Logrońo y Alrededores,Grado de ocupación por plazas,32.99
2018M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,78.72
2018M10,Resto,Grado de ocupación por plazas,21.95
2018M10,Resto,Grado de ocupacion por plazas fin de semana,58.54
2018M11,TOTAL,Grado de ocupación por plazas,22.58
2018M11,TOTAL,Grado de ocupacion por plazas fin de semana,57.63
2018M11,Logrońo y Alrededores,Grado de ocupación por plazas,26.68
2018M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,65.61
2018M11,Resto,Grado de ocupación por plazas,21.99
2018M11,Resto,Grado de ocupacion por plazas fin de semana,56.52
2018M12,TOTAL,Grado de ocupación por plazas,26.78
2018M12,TOTAL,Grado de ocupacion por plazas fin de semana,39.16
2018M12,Logrońo y Alrededores,Grado de ocupación por plazas,30.43
2018M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,38.9
2018M12,Resto,Grado de ocupación por plazas,26.28
2018M12,Resto,Grado de ocupacion por plazas fin de semana,39.34
2019M01,TOTAL,Grado de ocupación por plazas,5.32
2019M01,TOTAL,Grado de ocupacion por plazas fin de semana,14.21
2019M01,Logrońo y Alrededores,Grado de ocupación por plazas,2.49
2019M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,1.38
2019M01,Resto,Grado de ocupación por plazas,5.9
2019M01,Resto,Grado de ocupacion por plazas fin de semana,16.5
2019M02,TOTAL,Grado de ocupación por plazas,12.16
2019M02,TOTAL,Grado de ocupacion por plazas fin de semana,36.93
2019M02,Logrońo y Alrededores,Grado de ocupación por plazas,17.27
2019M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,43.8
2019M02,Resto,Grado de ocupación por plazas,11.35
2019M02,Resto,Grado de ocupacion por plazas fin de semana,35.98
2019M03,TOTAL,Grado de ocupación por plazas,18.91
2019M03,TOTAL,Grado de ocupacion por plazas fin de semana,50.66
2019M03,Logrońo y Alrededores,Grado de ocupación por plazas,15.34
2019M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,39.7
2019M03,Resto,Grado de ocupación por plazas,19.63
2019M03,Resto,Grado de ocupacion por plazas fin de semana,52.75
2019M04,TOTAL,Grado de ocupación por plazas,23.07
2019M04,TOTAL,Grado de ocupacion por plazas fin de semana,52.01
2019M04,Logrońo y Alrededores,Grado de ocupación por plazas,22.08
2019M04,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,52.36
2019M04,Resto,Grado de ocupación por plazas,23.36
2019M04,Resto,Grado de ocupacion por plazas fin de semana,52.25
2019M05,TOTAL,Grado de ocupación por plazas,18.78
2019M05,TOTAL,Grado de ocupacion por plazas fin de semana,47.03
2019M05,Logrońo y Alrededores,Grado de ocupación por plazas,27.42
2019M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,63.82
2019M05,Resto,Grado de ocupación por plazas,17.43
2019M05,Resto,Grado de ocupacion por plazas fin de semana,44.44
2019M06,TOTAL,Grado de ocupación por plazas,18.84
2019M06,TOTAL,Grado de ocupacion por plazas fin de semana,46.52
2019M06,Logrońo y Alrededores,Grado de ocupación por plazas,17.35
2019M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,38.07
2019M06,Resto,Grado de ocupación por plazas,19.16
2019M06,Resto,Grado de ocupacion por plazas fin de semana,48.08
2019M07,TOTAL,Grado de ocupación por plazas,23.34
2019M07,TOTAL,Grado de ocupacion por plazas fin de semana,48.94
2019M07,Logrońo y Alrededores,Grado de ocupación por plazas,34.15
2019M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,62.97
2019M07,Resto,Grado de ocupación por plazas,21.63
2019M07,Resto,Grado de ocupacion por plazas fin de semana,46.81
2019M08,TOTAL,Grado de ocupación por plazas,37.35
2019M08,TOTAL,Grado de ocupacion por plazas fin de semana,45.88
2019M08,Logrońo y Alrededores,Grado de ocupación por plazas,22.36
2019M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,32.1
2019M08,Resto,Grado de ocupación por plazas,39.98
2019M08,Resto,Grado de ocupacion por plazas fin de semana,48.35
2019M09,TOTAL,Grado de ocupación por plazas,21.14
2019M09,TOTAL,Grado de ocupacion por plazas fin de semana,55.94
2019M09,Logrońo y Alrededores,Grado de ocupación por plazas,22.32
2019M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,60.02
2019M09,Resto,Grado de ocupación por plazas,21
2019M09,Resto,Grado de ocupacion por plazas fin de semana,55.45
2019M10,TOTAL,Grado de ocupación por plazas,22.18
2019M10,TOTAL,Grado de ocupacion por plazas fin de semana,59.6
2019M10,Logrońo y Alrededores,Grado de ocupación por plazas,22.94
2019M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,51.96
2019M10,Resto,Grado de ocupación por plazas,22.12
2019M10,Resto,Grado de ocupacion por plazas fin de semana,60.92
2019M11,TOTAL,Grado de ocupación por plazas,21.75
2019M11,TOTAL,Grado de ocupacion por plazas fin de semana,56.16
2019M11,Logrońo y Alrededores,Grado de ocupación por plazas,23.12
2019M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,62.91
2019M11,Resto,Grado de ocupación por plazas,21.55
2019M11,Resto,Grado de ocupacion por plazas fin de semana,55.17
2019M12,TOTAL,Grado de ocupación por plazas,27.73
2019M12,TOTAL,Grado de ocupacion por plazas fin de semana,42.72
2019M12,Logrońo y Alrededores,Grado de ocupación por plazas,28.95
2019M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,34.58
2019M12,Resto,Grado de ocupación por plazas,27.59
2019M12,Resto,Grado de ocupacion por plazas fin de semana,44.22
2020M01,TOTAL,Grado de ocupación por plazas,9.7
2020M01,TOTAL,Grado de ocupacion por plazas fin de semana,21.32
2020M01,Logrońo y Alrededores,Grado de ocupación por plazas,9.89
2020M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,17.48
2020M01,Resto,Grado de ocupación por plazas,9.62
2020M01,Resto,Grado de ocupacion por plazas fin de semana,21.44
2020M02,TOTAL,Grado de ocupación por plazas,12.07
2020M02,TOTAL,Grado de ocupacion por plazas fin de semana,31.5
2020M02,Logrońo y Alrededores,Grado de ocupación por plazas,12.77
2020M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,35.7
2020M02,Resto,Grado de ocupación por plazas,11.98
2020M02,Resto,Grado de ocupacion por plazas fin de semana,30.86
2020M03,TOTAL,Grado de ocupación por plazas,7.99
2020M03,TOTAL,Grado de ocupacion por plazas fin de semana,18.83
2020M03,Logrońo y Alrededores,Grado de ocupación por plazas,11.68
2020M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,18.86
2020M03,Resto,Grado de ocupación por plazas,7.48
2020M03,Resto,Grado de ocupacion por plazas fin de semana,18.55
2020M05,TOTAL,Grado de ocupación por plazas,5.45
2020M05,TOTAL,Grado de ocupacion por plazas fin de semana,3.41
2020M05,Logrońo y Alrededores,Grado de ocupación por plazas,15.82
2020M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,2.69
2020M05,Resto,Grado de ocupación por plazas,4.03
2020M05,Resto,Grado de ocupacion por plazas fin de semana,3.48
2020M06,TOTAL,Grado de ocupación por plazas,8.74
2020M06,TOTAL,Grado de ocupacion por plazas fin de semana,17.58
2020M06,Logrońo y Alrededores,Grado de ocupación por plazas,20.16
2020M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,30.07
2020M06,Resto,Grado de ocupación por plazas,7.36
2020M06,Resto,Grado de ocupacion por plazas fin de semana,15.97
2020M07,TOTAL,Grado de ocupación por plazas,23.41
2020M07,TOTAL,Grado de ocupacion por plazas fin de semana,46.34
2020M07,Logrońo y Alrededores,Grado de ocupación por plazas,36.46
2020M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,80.96
2020M07,Resto,Grado de ocupación por plazas,21.94
2020M07,Resto,Grado de ocupacion por plazas fin de semana,42.37
2020M08,TOTAL,Grado de ocupación por plazas,41.4
2020M08,TOTAL,Grado de ocupacion por plazas fin de semana,56.58
2020M08,Logrońo y Alrededores,Grado de ocupación por plazas,36.03
2020M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,63.02
2020M08,Resto,Grado de ocupación por plazas,41.49
2020M08,Resto,Grado de ocupacion por plazas fin de semana,55.41
2020M09,TOTAL,Grado de ocupación por plazas,10.08
2020M09,TOTAL,Grado de ocupacion por plazas fin de semana,19.86
2020M09,Logrońo y Alrededores,Grado de ocupación por plazas,22.05
2020M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,30.59
2020M09,Resto,Grado de ocupación por plazas,8.67
2020M09,Resto,Grado de ocupacion por plazas fin de semana,18.42
2020M10,TOTAL,Grado de ocupación por plazas,8.19
2020M10,TOTAL,Grado de ocupacion por plazas fin de semana,11.48
2020M10,Logrońo y Alrededores,Grado de ocupación por plazas,23.64
2020M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,7.85
2020M10,Resto,Grado de ocupación por plazas,6.17
2020M10,Resto,Grado de ocupacion por plazas fin de semana,11.92
2020M11,TOTAL,Grado de ocupación por plazas,3.8
2020M11,TOTAL,Grado de ocupacion por plazas fin de semana,2.88
2020M11,Logrońo y Alrededores,Grado de ocupación por plazas,14.73
2020M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,1.84
2020M11,Resto,Grado de ocupación por plazas,2.73
2020M11,Resto,Grado de ocupacion por plazas fin de semana,2.95
2020M12,TOTAL,Grado de ocupación por plazas,5.11
2020M12,TOTAL,Grado de ocupacion por plazas fin de semana,5.71
2020M12,Logrońo y Alrededores,Grado de ocupación por plazas,9.91
2020M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,8.08
2020M12,Resto,Grado de ocupación por plazas,4.59
2020M12,Resto,Grado de ocupacion por plazas fin de semana,5.44
2021M01,TOTAL,Grado de ocupación por plazas,1.73
2021M01,TOTAL,Grado de ocupacion por plazas fin de semana,0.79
2021M01,Logrońo y Alrededores,Grado de ocupación por plazas,1.74
2021M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,
2021M01,Resto,Grado de ocupación por plazas,1.71
2021M01,Resto,Grado de ocupacion por plazas fin de semana,0.89
2021M02,TOTAL,Grado de ocupación por plazas,2.54
2021M02,TOTAL,Grado de ocupacion por plazas fin de semana,1.57
2021M02,Logrońo y Alrededores,Grado de ocupación por plazas,4.2
2021M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,
2021M02,Resto,Grado de ocupación por plazas,2.34
2021M02,Resto,Grado de ocupacion por plazas fin de semana,1.7
2021M03,TOTAL,Grado de ocupación por plazas,3.07
2021M03,TOTAL,Grado de ocupacion por plazas fin de semana,5.28
2021M03,Logrońo y Alrededores,Grado de ocupación por plazas,5.48
2021M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,6.67
2021M03,Resto,Grado de ocupación por plazas,2.75
2021M03,Resto,Grado de ocupacion por plazas fin de semana,5.04
2021M04,TOTAL,Grado de ocupación por plazas,6.68
2021M04,TOTAL,Grado de ocupacion por plazas fin de semana,10.98
2021M04,Logrońo y Alrededores,Grado de ocupación por plazas,12.95
2021M04,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,13.1
2021M04,Resto,Grado de ocupación por plazas,5.83
2021M04,Resto,Grado de ocupacion por plazas fin de semana,10.67
2021M05,TOTAL,Grado de ocupación por plazas,7.75
2021M05,TOTAL,Grado de ocupacion por plazas fin de semana,15.12
2021M05,Logrońo y Alrededores,Grado de ocupación por plazas,14.24
2021M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,18.1
2021M05,Resto,Grado de ocupación por plazas,6.87
2021M05,Resto,Grado de ocupacion por plazas fin de semana,14.68
2021M06,TOTAL,Grado de ocupación por plazas,16.26
2021M06,TOTAL,Grado de ocupacion por plazas fin de semana,32.77
2021M06,Logrońo y Alrededores,Grado de ocupación por plazas,22.55
2021M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,46.33
2021M06,Resto,Grado de ocupación por plazas,15.38
2021M06,Resto,Grado de ocupacion por plazas fin de semana,30.85
2021M07,TOTAL,Grado de ocupación por plazas,29.55
2021M07,TOTAL,Grado de ocupacion por plazas fin de semana,51.15
2021M07,Logrońo y Alrededores,Grado de ocupación por plazas,30.33
2021M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,68.39
2021M07,Resto,Grado de ocupación por plazas,29.48
2021M07,Resto,Grado de ocupacion por plazas fin de semana,44.14
2021M08,TOTAL,Grado de ocupación por plazas,40.93
2021M08,TOTAL,Grado de ocupacion por plazas fin de semana,54.37
2021M08,Logrońo y Alrededores,Grado de ocupación por plazas,40.81
2021M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,67.6
2021M08,Resto,Grado de ocupación por plazas,40.81
2021M08,Resto,Grado de ocupacion por plazas fin de semana,46.72
2021M09,TOTAL,Grado de ocupación por plazas,22.14
2021M09,TOTAL,Grado de ocupacion por plazas fin de semana,43.95
2021M09,Logrońo y Alrededores,Grado de ocupación por plazas,18.96
