Grupo actividad sector turístico,Indicador,Periodo,DATA
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2010,9211.487
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2011,13678.09
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2012,8040.701
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2013,7146.056
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Gastos de personal,2014,5950.867
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2008,556331.88
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2009,510075.697
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2010,509507.841
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2011,517279.702
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2012,498640.331
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2013,489040.594
RESTO DE SECTOR SERVICIOS,Sueldos y salarios,2014,506437.303
RESTO DE SECTOR SERVICIOS,Productividad por persona,2008,33968.559
RESTO DE SECTOR SERVICIOS,Productividad por persona,2009,31844.207
RESTO DE SECTOR SERVICIOS,Productividad por persona,2010,33387.642
RESTO DE SECTOR SERVICIOS,Productividad por persona,2011,32723.678
RESTO DE SECTOR SERVICIOS,Productividad por persona,2012,31050.872
RESTO DE SECTOR SERVICIOS,Productividad por persona,2013,29972.411
RESTO DE SECTOR SERVICIOS,Productividad por persona,2014,30443.15
RESTO DE SECTOR SERVICIOS,Salario medio,2008,19502.664
RESTO DE SECTOR SERVICIOS,Salario medio,2009,20406.75
RESTO DE SECTOR SERVICIOS,Salario medio,2010,20064.924
RESTO DE SECTOR SERVICIOS,Salario medio,2011,20113.823
RESTO DE SECTOR SERVICIOS,Salario medio,2012,20387.268
RESTO DE SECTOR SERVICIOS,Salario medio,2013,20078.945
RESTO DE SECTOR SERVICIOS,Salario medio,2014,19521.682
RESTO DE SECTOR SERVICIOS,Gastos de personal,2008,711399.239
RESTO DE SECTOR SERVICIOS,Gastos de personal,2009,653603.982
RESTO DE SECTOR SERVICIOS,Gastos de personal,2010,652859.624
RESTO DE SECTOR SERVICIOS,Gastos de personal,2011,671127.913
RESTO DE SECTOR SERVICIOS,Gastos de personal,2012,644145.986
RESTO DE SECTOR SERVICIOS,Gastos de personal,2013,630625.615
RESTO DE SECTOR SERVICIOS,Gastos de personal,2014,649281.052
