Grupo actividad sector turístico,Indicador,Periodo,DATA
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2016,6240.567
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2017,6373.611
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2018,4967.404
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2019,7131.216
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2020,5809.649
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de remunerados,2015,69.2
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de remunerados,2016,72.068
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de remunerados,2017,58.949
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de remunerados,2018,61.937
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de remunerados,2019,70.051
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Tasa de remunerados,2020,68.045
RESTO DE SECTOR SERVICIOS,Salario medio,2015,21142.081
RESTO DE SECTOR SERVICIOS,Salario medio,2016,20419.951
RESTO DE SECTOR SERVICIOS,Salario medio,2017,20881.44
RESTO DE SECTOR SERVICIOS,Salario medio,2018,21575.043
RESTO DE SECTOR SERVICIOS,Salario medio,2019,22275.904
RESTO DE SECTOR SERVICIOS,Salario medio,2020,21853.927
RESTO DE SECTOR SERVICIOS,Gasto de personal,2015,26740.55
RESTO DE SECTOR SERVICIOS,Gasto de personal,2016,25849.814
RESTO DE SECTOR SERVICIOS,Gasto de personal,2017,26553.16
RESTO DE SECTOR SERVICIOS,Gasto de personal,2018,27433.442
RESTO DE SECTOR SERVICIOS,Gasto de personal,2019,28359.942
RESTO DE SECTOR SERVICIOS,Gasto de personal,2020,27867.984
RESTO DE SECTOR SERVICIOS,Tasa de valor ańadido,2015,63.631
RESTO DE SECTOR SERVICIOS,Tasa de valor ańadido,2016,63.427
