Grupo actividad sector turístico,Régimen de afiliación,Periodo,DATA
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2020T3,15871.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2020T4,15913.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2021T1,15953.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2021T2,15957.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2021T3,15896.0
TOTAL SECTOR SERVICIOS,Régimen especial de trabajadores autónomos,2021T4,15958.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2011T2,1801.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2011T3,1771.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2011T4,1775.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2012T1,1126.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2012T2,660.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2012T3,12.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2012T4,4.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2013T1,1.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2013T2,2.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2013T3,1.0
TOTAL SECTOR SERVICIOS,Otros Régimenes,2013T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2014T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2014T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2014T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2014T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2015T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2015T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2015T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2015T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2016T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2016T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2016T3,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2016T4,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2017T1,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2017T2,2566.5
TOTAL SECTOR SERVICIOS,Otros Régimenes,2017T3,2566.5
