Periodo,Municipio,Indicador,Categoría,DATA
2016-02-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-03-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),TOTAL,64.19
2016-03-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,83.42
2016-03-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,62.59
2016-03-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,55.92
2016-03-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,45.45
2016-03-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,33.17
2016-03-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),TOTAL,32.73
2016-03-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,53.2
2016-03-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,37.03
2016-03-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,16.42
2016-03-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,11.55
2016-03-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),1 estrella de plata,11.38
2016-03-01,Calahorra,Facturación media por cada habitación ocupada (ADR),TOTAL,60.19
2016-03-01,Calahorra,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-03-01,Calahorra,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-03-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-03-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-03-01,Calahorra,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-03-01,Calahorra,Ingreso por habitación disponible (RevPAR),TOTAL,29.68
2016-03-01,Calahorra,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-03-01,Calahorra,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-03-01,Calahorra,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-03-01,Calahorra,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-03-01,Calahorra,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-03-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),TOTAL,77.76
2016-03-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-03-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-03-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-03-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-03-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-03-01,Ezcaray,Ingreso por habitación disponible (RevPAR),TOTAL,24.19
2016-03-01,Ezcaray,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-03-01,Ezcaray,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-03-01,Ezcaray,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-03-01,Ezcaray,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-03-01,Ezcaray,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
