Grupo actividad sector turístico,Indicador,Periodo,DATA
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2014,711.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2015,734.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2016,784.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2017,801.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2018,851.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2019,914.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2020,964.0
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2021,936.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2008,13610.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2009,13619.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2010,13772.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2011,13742.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2012,13617.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2013,13728.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2014,13885.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2015,14772.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2016,14850.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2017,14999.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2018,14994.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2019,14651.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2020,14671.0
RESTO DE SECTOR SERVICIOS,Número de empresas,2021,14459.0
RESTO DE SECTOR SERVICIOS,Número de locales,2008,1901.0
RESTO DE SECTOR SERVICIOS,Número de locales,2009,1901.0
RESTO DE SECTOR SERVICIOS,Número de locales,2010,16122.0
RESTO DE SECTOR SERVICIOS,Número de locales,2011,16065.0
RESTO DE SECTOR SERVICIOS,Número de locales,2012,15821.0
RESTO DE SECTOR SERVICIOS,Número de locales,2013,16004.0
RESTO DE SECTOR SERVICIOS,Número de locales,2014,16125.0
RESTO DE SECTOR SERVICIOS,Número de locales,2015,17002.0
RESTO DE SECTOR SERVICIOS,Número de locales,2016,17127.0
RESTO DE SECTOR SERVICIOS,Número de locales,2017,17325.0
RESTO DE SECTOR SERVICIOS,Número de locales,2018,17354.0
RESTO DE SECTOR SERVICIOS,Número de locales,2019,17254.0
RESTO DE SECTOR SERVICIOS,Número de locales,2020,17287.0
RESTO DE SECTOR SERVICIOS,Número de locales,2021,17070.0
