Periodo,Tarifa,Variable,DATA
2023-04-01,TOTAL,Var (%) anual,6.79
2023-04-01,Normal,Índice,140.52
2023-04-01,Normal,Var (%) anual,4.96
2023-04-01,Fin de semana,Índice,112.61
2023-04-01,Fin de semana,Var (%) anual,8.47
2023-05-01,TOTAL,Índice,151.87
2023-05-01,TOTAL,Var (%) anual,7.14
2023-05-01,Normal,Índice,151.2
2023-05-01,Normal,Var (%) anual,5.13
2023-05-01,Fin de semana,Índice,115.15
2023-05-01,Fin de semana,Var (%) anual,8.39
2023-06-01,TOTAL,Índice,119.77
2023-06-01,TOTAL,Var (%) anual,9.15
2023-06-01,Normal,Índice,124.7
2023-06-01,Normal,Var (%) anual,9.45
2023-06-01,Fin de semana,Índice,98.24
2023-06-01,Fin de semana,Var (%) anual,8.86
2023-07-01,TOTAL,Índice,133.34
2023-07-01,TOTAL,Var (%) anual,9.59
2023-07-01,Normal,Índice,130.4
2023-07-01,Normal,Var (%) anual,8.12
2023-07-01,Fin de semana,Índice,126.82
2023-07-01,Fin de semana,Var (%) anual,12.05
2023-08-01,TOTAL,Índice,125.98
2023-08-01,TOTAL,Var (%) anual,7.82
2023-08-01,Normal,Índice,124.68
2023-08-01,Normal,Var (%) anual,9.88
2023-08-01,Fin de semana,Índice,119.91
2023-08-01,Fin de semana,Var (%) anual,3.77
2023-09-01,TOTAL,Índice,146.28
2023-09-01,TOTAL,Var (%) anual,4.45
2023-09-01,Normal,Índice,138.33
2023-09-01,Normal,Var (%) anual,4.26
2023-09-01,Fin de semana,Índice,102.05
2023-09-01,Fin de semana,Var (%) anual,4.61
2023-10-01,TOTAL,Índice,129.66
2023-10-01,TOTAL,Var (%) anual,6.16
2023-10-01,Normal,Índice,129.82
2023-10-01,Normal,Var (%) anual,8.04
2023-10-01,Fin de semana,Índice,124.7
2023-10-01,Fin de semana,Var (%) anual,4.83
2023-11-01,TOTAL,Índice,133.65
2023-11-01,TOTAL,Var (%) anual,9.11
2023-11-01,Normal,Índice,136.68
2023-11-01,Normal,Var (%) anual,10.63
2023-11-01,Fin de semana,Índice,153.33
2023-11-01,Fin de semana,Var (%) anual,7.73
2023-12-01,TOTAL,Índice,127.65
2023-12-01,TOTAL,Var (%) anual,9.84
2023-12-01,Normal,Índice,126.44
2023-12-01,Normal,Var (%) anual,12.43
2023-12-01,Fin de semana,Índice,97.11
2023-12-01,Fin de semana,Var (%) anual,7.43
2024-01-01,TOTAL,Índice,125.05
2024-01-01,TOTAL,Var (%) anual,1.72
2024-01-01,Normal,Índice,100.67
2024-01-01,Normal,Var (%) anual,3.02
2024-01-01,Fin de semana,Índice,108.97
2024-01-01,Fin de semana,Var (%) anual,-0.09
2024-02-01,TOTAL,Índice,158.94
2024-02-01,TOTAL,Var (%) anual,6.03
2024-02-01,Normal,Índice,148.55
2024-02-01,Normal,Var (%) anual,8.71
2024-02-01,Fin de semana,Índice,126.05
2024-02-01,Fin de semana,Var (%) anual,3.64
2024-03-01,TOTAL,Índice,157.38
2024-03-01,TOTAL,Var (%) anual,3.06
2024-03-01,Normal,Índice,152.48
2024-03-01,Normal,Var (%) anual,4.77
2024-03-01,Fin de semana,Índice,116.3
2024-03-01,Fin de semana,Var (%) anual,1.88
