Municipio,Indicador,Periodo,DATA
Alesón,Plazas Totales,2012,79.0
Alesón,Plazas Totales,2013,84.0
Alesón,Plazas Totales,2014,75.0
Alesón,Plazas Totales,2015,75.0
Alesón,Plazas Totales,2016,75.0
Alesón,Plazas Totales,2017,75.0
Alesón,Plazas Totales,2018,70.0
Alesón,Plazas Totales,2019,70.0
Alesón,Plazas Totales,2020,70.0
Alesón,Plazas Totales,2021,70.0
Alesón,Plazas Totales,2022,70.0
Alesón,Plazas Totales,2023,70.0
Alesón,Plazas Totales,2024,70.0
Alesón,Plazas / 1000 habitantes,2009,598.48
Alesón,Plazas / 1000 habitantes,2010,681.03
Alesón,Plazas / 1000 habitantes,2011,675.21
Alesón,Plazas / 1000 habitantes,2012,724.77
Alesón,Plazas / 1000 habitantes,2013,730.43
Alesón,Plazas / 1000 habitantes,2014,641.03
Alesón,Plazas / 1000 habitantes,2015,604.84
Alesón,Plazas / 1000 habitantes,2016,652.17
Alesón,Plazas / 1000 habitantes,2017,700.93
Alesón,Plazas / 1000 habitantes,2018,686.27
Alesón,Plazas / 1000 habitantes,2019,707.07
Alesón,Plazas / 1000 habitantes,2020,744.68
Alesón,Plazas / 1000 habitantes,2021,760.87
Alesón,Plazas / 1000 habitantes,2022,777.78
Alesón,Plazas / 1000 habitantes,2023,714.29
Alesón,Plazas / 1000 habitantes,2024,60.61
Alfaro,Plazas Totales,2009,142.0
Alfaro,Plazas Totales,2010,174.0
Alfaro,Plazas Totales,2011,174.0
Alfaro,Plazas Totales,2012,150.0
Alfaro,Plazas Totales,2013,150.0
Alfaro,Plazas Totales,2014,150.0
Alfaro,Plazas Totales,2015,137.0
Alfaro,Plazas Totales,2016,143.0
Alfaro,Plazas Totales,2017,143.0
Alfaro,Plazas Totales,2018,137.0
Alfaro,Plazas Totales,2019,137.0
Alfaro,Plazas Totales,2020,137.0
Alfaro,Plazas Totales,2021,137.0
Alfaro,Plazas Totales,2022,137.0
Alfaro,Plazas Totales,2023,137.0
Alfaro,Plazas Totales,2024,137.0
Alfaro,Plazas / 1000 habitantes,2009,14.37
Alfaro,Plazas / 1000 habitantes,2010,17.73
Alfaro,Plazas / 1000 habitantes,2011,17.71
Alfaro,Plazas / 1000 habitantes,2012,15.23
Alfaro,Plazas / 1000 habitantes,2013,15.29
Alfaro,Plazas / 1000 habitantes,2014,15.48
Alfaro,Plazas / 1000 habitantes,2015,14.32
Alfaro,Plazas / 1000 habitantes,2016,14.97
Alfaro,Plazas / 1000 habitantes,2017,15.05
Alfaro,Plazas / 1000 habitantes,2018,14.48
Alfaro,Plazas / 1000 habitantes,2019,14.46
Alfaro,Plazas / 1000 habitantes,2020,14.25
Alfaro,Plazas / 1000 habitantes,2021,14.33
Alfaro,Plazas / 1000 habitantes,2022,14.08
Alfaro,Plazas / 1000 habitantes,2023,13.95
Alfaro,Plazas / 1000 habitantes,2024,60.61
Almarza de Cameros,Plazas Totales,2009,12.0
Almarza de Cameros,Plazas Totales,2010,12.0
Almarza de Cameros,Plazas Totales,2011,12.0
Almarza de Cameros,Plazas Totales,2012,12.0
Almarza de Cameros,Plazas Totales,2013,12.0
Almarza de Cameros,Plazas Totales,2014,6.0
Almarza de Cameros,Plazas Totales,2015,6.0
Almarza de Cameros,Plazas Totales,2016,60.61
Almarza de Cameros,Plazas Totales,2017,60.61
Almarza de Cameros,Plazas Totales,2018,60.61
Almarza de Cameros,Plazas Totales,2019,60.61
Almarza de Cameros,Plazas Totales,2020,60.61
Almarza de Cameros,Plazas Totales,2021,60.61
Almarza de Cameros,Plazas Totales,2022,60.61
Almarza de Cameros,Plazas Totales,2023,60.61
Almarza de Cameros,Plazas Totales,2024,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2009,444.44
Almarza de Cameros,Plazas / 1000 habitantes,2010,480.0
Almarza de Cameros,Plazas / 1000 habitantes,2011,521.74
Almarza de Cameros,Plazas / 1000 habitantes,2012,705.88
Almarza de Cameros,Plazas / 1000 habitantes,2013,666.67
Almarza de Cameros,Plazas / 1000 habitantes,2014,272.73
Almarza de Cameros,Plazas / 1000 habitantes,2015,272.73
Almarza de Cameros,Plazas / 1000 habitantes,2016,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2017,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2018,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2019,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2020,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2021,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2022,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2023,60.61
Almarza de Cameros,Plazas / 1000 habitantes,2024,60.61
Anguciana,Plazas Totales,2009,60.61
Anguciana,Plazas Totales,2010,60.61
Anguciana,Plazas Totales,2011,60.61
Anguciana,Plazas Totales,2012,60.61
Anguciana,Plazas Totales,2013,60.61
Anguciana,Plazas Totales,2014,60.61
Anguciana,Plazas Totales,2015,60.61
Anguciana,Plazas Totales,2016,60.61
Anguciana,Plazas Totales,2017,60.61
Anguciana,Plazas Totales,2018,60.61
Anguciana,Plazas Totales,2019,60.61
Anguciana,Plazas Totales,2020,60.61
Anguciana,Plazas Totales,2021,60.61
Anguciana,Plazas Totales,2022,60.61
Anguciana,Plazas Totales,2023,60.61
Anguciana,Plazas Totales,2024,60.61
Anguciana,Plazas / 1000 habitantes,2009,60.61
Anguciana,Plazas / 1000 habitantes,2010,60.61
Anguciana,Plazas / 1000 habitantes,2011,60.61
Anguciana,Plazas / 1000 habitantes,2012,60.61
Anguciana,Plazas / 1000 habitantes,2013,60.61
Anguciana,Plazas / 1000 habitantes,2014,60.61
Anguciana,Plazas / 1000 habitantes,2015,60.61
Anguciana,Plazas / 1000 habitantes,2016,60.61
Anguciana,Plazas / 1000 habitantes,2017,60.61
Anguciana,Plazas / 1000 habitantes,2018,60.61
Anguciana,Plazas / 1000 habitantes,2019,60.61
Anguciana,Plazas / 1000 habitantes,2020,60.61
Anguciana,Plazas / 1000 habitantes,2021,60.61
Anguciana,Plazas / 1000 habitantes,2022,60.61
Anguciana,Plazas / 1000 habitantes,2023,60.61
Anguciana,Plazas / 1000 habitantes,2024,60.61
Anguiano,Plazas Totales,2009,75.0
Anguiano,Plazas Totales,2010,75.0
Anguiano,Plazas Totales,2011,75.0
Anguiano,Plazas Totales,2012,75.0
Anguiano,Plazas Totales,2013,75.0
Anguiano,Plazas Totales,2014,75.0
Anguiano,Plazas Totales,2015,82.0
Anguiano,Plazas Totales,2016,107.0
Anguiano,Plazas Totales,2017,127.0
Anguiano,Plazas Totales,2018,127.0
Anguiano,Plazas Totales,2019,123.0
Anguiano,Plazas Totales,2020,123.0
Anguiano,Plazas Totales,2021,123.0
Anguiano,Plazas Totales,2022,139.0
Anguiano,Plazas Totales,2023,139.0
Anguiano,Plazas Totales,2024,139.0
Anguiano,Plazas / 1000 habitantes,2009,138.38
Anguiano,Plazas / 1000 habitantes,2010,138.89
Anguiano,Plazas / 1000 habitantes,2011,138.12
Anguiano,Plazas / 1000 habitantes,2012,137.36
Anguiano,Plazas / 1000 habitantes,2013,137.61
Anguiano,Plazas / 1000 habitantes,2014,137.61
Anguiano,Plazas / 1000 habitantes,2015,152.7
Anguiano,Plazas / 1000 habitantes,2016,199.26
Anguiano,Plazas / 1000 habitantes,2017,250.99
Anguiano,Plazas / 1000 habitantes,2018,249.51
Anguiano,Plazas / 1000 habitantes,2019,247.48
Anguiano,Plazas / 1000 habitantes,2020,248.99
Anguiano,Plazas / 1000 habitantes,2021,240.7
Anguiano,Plazas / 1000 habitantes,2022,265.27
Anguiano,Plazas / 1000 habitantes,2023,279.68
Anguiano,Plazas / 1000 habitantes,2024,60.61
Arenzana de Abajo,Plazas Totales,2009,60.61
Arenzana de Abajo,Plazas Totales,2010,60.61
Arenzana de Abajo,Plazas Totales,2011,60.61
Arenzana de Abajo,Plazas Totales,2012,60.61
Arenzana de Abajo,Plazas Totales,2013,60.61
Arenzana de Abajo,Plazas Totales,2014,60.61
Arenzana de Abajo,Plazas Totales,2015,60.61
Arenzana de Abajo,Plazas Totales,2016,6.0
Arenzana de Abajo,Plazas Totales,2017,6.0
Arenzana de Abajo,Plazas Totales,2018,60.61
Arenzana de Abajo,Plazas Totales,2019,60.61
Arenzana de Abajo,Plazas Totales,2020,60.61
Arenzana de Abajo,Plazas Totales,2021,60.61
Arenzana de Abajo,Plazas Totales,2022,60.61
Arenzana de Abajo,Plazas Totales,2023,60.61
Arenzana de Abajo,Plazas Totales,2024,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2009,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2010,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2011,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2012,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2013,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2014,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2015,60.61
Arenzana de Abajo,Plazas / 1000 habitantes,2016,24.59
