Municipio,Indicador,Periodo,DATA
Almarza de Cameros,Plazas / 1000 habitantes,2019,
Almarza de Cameros,Plazas / 1000 habitantes,2020,
Almarza de Cameros,Plazas / 1000 habitantes,2021,
Almarza de Cameros,Plazas / 1000 habitantes,2022,
Almarza de Cameros,Plazas / 1000 habitantes,2023,
Almarza de Cameros,Plazas / 1000 habitantes,2024,
Anguciana,Plazas Totales,2009,
Anguciana,Plazas Totales,2010,
Anguciana,Plazas Totales,2011,
Anguciana,Plazas Totales,2012,
Anguciana,Plazas Totales,2013,
Anguciana,Plazas Totales,2014,
Anguciana,Plazas Totales,2015,
Anguciana,Plazas Totales,2016,
Anguciana,Plazas Totales,2017,
Anguciana,Plazas Totales,2018,
Anguciana,Plazas Totales,2019,
Anguciana,Plazas Totales,2020,
Anguciana,Plazas Totales,2021,
Anguciana,Plazas Totales,2022,
Anguciana,Plazas Totales,2023,
Anguciana,Plazas Totales,2024,
Anguciana,Plazas / 1000 habitantes,2009,
Anguciana,Plazas / 1000 habitantes,2010,
Anguciana,Plazas / 1000 habitantes,2011,
Anguciana,Plazas / 1000 habitantes,2012,
Anguciana,Plazas / 1000 habitantes,2013,
Anguciana,Plazas / 1000 habitantes,2014,
Anguciana,Plazas / 1000 habitantes,2015,
Anguciana,Plazas / 1000 habitantes,2016,
Anguciana,Plazas / 1000 habitantes,2017,
Anguciana,Plazas / 1000 habitantes,2018,
Anguciana,Plazas / 1000 habitantes,2019,
Anguciana,Plazas / 1000 habitantes,2020,
Anguciana,Plazas / 1000 habitantes,2021,
Anguciana,Plazas / 1000 habitantes,2022,
Anguciana,Plazas / 1000 habitantes,2023,
Anguciana,Plazas / 1000 habitantes,2024,
Anguiano,Plazas Totales,2009,278
Anguiano,Plazas Totales,2010,278
Anguiano,Plazas Totales,2011,278
Anguiano,Plazas Totales,2012,278
Anguiano,Plazas Totales,2013,278
Anguiano,Plazas Totales,2014,278
Anguiano,Plazas Totales,2015,278
Anguiano,Plazas Totales,2016,278
Anguiano,Plazas Totales,2017,278
Anguiano,Plazas Totales,2018,278
Anguiano,Plazas Totales,2019,278
Anguiano,Plazas Totales,2020,278
Anguiano,Plazas Totales,2021,278
Anguiano,Plazas Totales,2022,278
Anguiano,Plazas Totales,2023,278
Anguiano,Plazas Totales,2024,278
Anguiano,Plazas / 1000 habitantes,2009,512.92
Anguiano,Plazas / 1000 habitantes,2010,514.81
Anguiano,Plazas / 1000 habitantes,2011,511.97
Anguiano,Plazas / 1000 habitantes,2012,509.16
Anguiano,Plazas / 1000 habitantes,2013,510.09
Anguiano,Plazas / 1000 habitantes,2014,510.09
Anguiano,Plazas / 1000 habitantes,2015,517.69
Anguiano,Plazas / 1000 habitantes,2016,517.69
Anguiano,Plazas / 1000 habitantes,2017,549.41
Anguiano,Plazas / 1000 habitantes,2018,546.17
Anguiano,Plazas / 1000 habitantes,2019,559.36
Anguiano,Plazas / 1000 habitantes,2020,562.75
Anguiano,Plazas / 1000 habitantes,2021,544.03
Anguiano,Plazas / 1000 habitantes,2022,530.53
Anguiano,Plazas / 1000 habitantes,2023,559.36
Anguiano,Plazas / 1000 habitantes,2024,
Arenzana de Abajo,Plazas Totales,2009,
Arenzana de Abajo,Plazas Totales,2010,
Arenzana de Abajo,Plazas Totales,2011,
Arenzana de Abajo,Plazas Totales,2012,
Arenzana de Abajo,Plazas Totales,2013,
Arenzana de Abajo,Plazas Totales,2014,
Arenzana de Abajo,Plazas Totales,2015,
Arenzana de Abajo,Plazas Totales,2016,
Arenzana de Abajo,Plazas Totales,2017,
Arenzana de Abajo,Plazas Totales,2018,
Arenzana de Abajo,Plazas Totales,2019,
Arenzana de Abajo,Plazas Totales,2020,
Arenzana de Abajo,Plazas Totales,2021,
Arenzana de Abajo,Plazas Totales,2022,
Arenzana de Abajo,Plazas Totales,2023,
Arenzana de Abajo,Plazas Totales,2024,
Arenzana de Abajo,Plazas / 1000 habitantes,2009,
Arenzana de Abajo,Plazas / 1000 habitantes,2010,
Arenzana de Abajo,Plazas / 1000 habitantes,2011,
Arenzana de Abajo,Plazas / 1000 habitantes,2012,
Arenzana de Abajo,Plazas / 1000 habitantes,2013,
Arenzana de Abajo,Plazas / 1000 habitantes,2014,
Arenzana de Abajo,Plazas / 1000 habitantes,2015,
Arenzana de Abajo,Plazas / 1000 habitantes,2016,
Arenzana de Abajo,Plazas / 1000 habitantes,2017,
Arenzana de Abajo,Plazas / 1000 habitantes,2018,
Arenzana de Abajo,Plazas / 1000 habitantes,2019,
Arenzana de Abajo,Plazas / 1000 habitantes,2020,
Arenzana de Abajo,Plazas / 1000 habitantes,2021,
Arenzana de Abajo,Plazas / 1000 habitantes,2022,
Arenzana de Abajo,Plazas / 1000 habitantes,2023,
Arenzana de Abajo,Plazas / 1000 habitantes,2024,
Arenzana de Arriba,Plazas Totales,2009,
