Periodo,Categoría,Residencia viajero,DATA
2018M05,Camping de 2Ş y 3Ş,TOTAL,2143
2018M05,Camping de 2Ş y 3Ş,Residentes en Espańa,1207.56
2018M05,Camping de 2Ş y 3Ş,No residentes en Espańa,935.44
2018M06,TOTAL,TOTAL,12502
2018M06,TOTAL,Residentes en Espańa,9455.74
2018M06,TOTAL,No residentes en Espańa,3046.26
2018M06,Camping de 1Ş,TOTAL,8799
2018M06,Camping de 1Ş,Residentes en Espańa,7475.2
2018M06,Camping de 1Ş,No residentes en Espańa,1323.8
2018M06,Camping de 2Ş y 3Ş,TOTAL,3703
2018M06,Camping de 2Ş y 3Ş,Residentes en Espańa,1980.54
2018M06,Camping de 2Ş y 3Ş,No residentes en Espańa,1722.46
2018M07,TOTAL,TOTAL,31272
2018M07,TOTAL,Residentes en Espańa,28565.6
2018M07,TOTAL,No residentes en Espańa,2706.4
2018M07,Camping de 1Ş,TOTAL,26626
2018M07,Camping de 1Ş,Residentes en Espańa,24902.95
2018M07,Camping de 1Ş,No residentes en Espańa,1723.05
2018M07,Camping de 2Ş y 3Ş,TOTAL,4646
2018M07,Camping de 2Ş y 3Ş,Residentes en Espańa,3662.65
2018M07,Camping de 2Ş y 3Ş,No residentes en Espańa,983.35
2018M08,TOTAL,TOTAL,41974
2018M08,TOTAL,Residentes en Espańa,36842.83
2018M08,TOTAL,No residentes en Espańa,5131.17
2018M08,Camping de 1Ş,TOTAL,37352
2018M08,Camping de 1Ş,Residentes en Espańa,33294.46
2018M08,Camping de 1Ş,No residentes en Espańa,4057.54
2018M08,Camping de 2Ş y 3Ş,TOTAL,4622
2018M08,Camping de 2Ş y 3Ş,Residentes en Espańa,3548.36
2018M08,Camping de 2Ş y 3Ş,No residentes en Espańa,1073.64
2018M09,TOTAL,TOTAL,13890
2018M09,TOTAL,Residentes en Espańa,12582.39
2018M09,TOTAL,No residentes en Espańa,1307.61
2018M09,Camping de 1Ş,TOTAL,10727
2018M09,Camping de 1Ş,Residentes en Espańa,10281.98
2018M09,Camping de 1Ş,No residentes en Espańa,445.02
2018M09,Camping de 2Ş y 3Ş,TOTAL,
2018M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M10,TOTAL,TOTAL,6749
2018M10,TOTAL,Residentes en Espańa,5264.75
2018M10,TOTAL,No residentes en Espańa,1484.25
2018M10,Camping de 1Ş,TOTAL,4521
2018M10,Camping de 1Ş,Residentes en Espańa,4108.71
2018M10,Camping de 1Ş,No residentes en Espańa,412.29
2018M10,Camping de 2Ş y 3Ş,TOTAL,
2018M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M11,TOTAL,TOTAL,4935.3
2018M11,TOTAL,Residentes en Espańa,4597.21
2018M11,TOTAL,No residentes en Espańa,338.09
2018M11,Camping de 1Ş,TOTAL,3988.3
2018M11,Camping de 1Ş,Residentes en Espańa,3917.71
2018M11,Camping de 1Ş,No residentes en Espańa,70.59
2018M11,Camping de 2Ş y 3Ş,TOTAL,
2018M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M12,TOTAL,TOTAL,6409
2018M12,TOTAL,Residentes en Espańa,5967.33
2018M12,TOTAL,No residentes en Espańa,441.67
2018M12,Camping de 1Ş,TOTAL,6278
2018M12,Camping de 1Ş,Residentes en Espańa,5836.33
2018M12,Camping de 1Ş,No residentes en Espańa,441.67
2018M12,Camping de 2Ş y 3Ş,TOTAL,
2018M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M01,TOTAL,TOTAL,1541
2019M01,TOTAL,Residentes en Espańa,1407.57
2019M01,TOTAL,No residentes en Espańa,133.43
2019M01,Camping de 1Ş,TOTAL,1441
2019M01,Camping de 1Ş,Residentes en Espańa,1307.57
2019M01,Camping de 1Ş,No residentes en Espańa,133.43
2019M01,Camping de 2Ş y 3Ş,TOTAL,
2019M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M02,TOTAL,TOTAL,2291
2019M02,TOTAL,Residentes en Espańa,1811.37
2019M02,TOTAL,No residentes en Espańa,479.63
2019M02,Camping de 1Ş,TOTAL,1639
2019M02,Camping de 1Ş,Residentes en Espańa,1390.43
2019M02,Camping de 1Ş,No residentes en Espańa,248.57
2019M02,Camping de 2Ş y 3Ş,TOTAL,
2019M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M03,TOTAL,TOTAL,4727
2019M03,TOTAL,Residentes en Espańa,3811.42
2019M03,TOTAL,No residentes en Espańa,915.58
2019M03,Camping de 1Ş,TOTAL,2851
2019M03,Camping de 1Ş,Residentes en Espańa,2566.83
2019M03,Camping de 1Ş,No residentes en Espańa,284.17
2019M03,Camping de 2Ş y 3Ş,TOTAL,
2019M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M04,TOTAL,TOTAL,8752
2019M04,TOTAL,Residentes en Espańa,7028.49
2019M04,TOTAL,No residentes en Espańa,1723.51
2019M04,Camping de 1Ş,TOTAL,6340
2019M04,Camping de 1Ş,Residentes en Espańa,5889.99
2019M04,Camping de 1Ş,No residentes en Espańa,450.01
2019M04,Camping de 2Ş y 3Ş,TOTAL,2412
2019M04,Camping de 2Ş y 3Ş,Residentes en Espańa,1138.5
2019M04,Camping de 2Ş y 3Ş,No residentes en Espańa,1273.5
2019M05,TOTAL,TOTAL,8417
2019M05,TOTAL,Residentes en Espańa,5896.86
2019M05,TOTAL,No residentes en Espańa,2520.14
2019M05,Camping de 1Ş,TOTAL,5820
2019M05,Camping de 1Ş,Residentes en Espańa,4658.04
2019M05,Camping de 1Ş,No residentes en Espańa,1161.96
2019M05,Camping de 2Ş y 3Ş,TOTAL,2597
2019M05,Camping de 2Ş y 3Ş,Residentes en Espańa,1238.82
2019M05,Camping de 2Ş y 3Ş,No residentes en Espańa,1358.18
2019M06,TOTAL,TOTAL,13241
2019M06,TOTAL,Residentes en Espańa,10383.22
2019M06,TOTAL,No residentes en Espańa,2857.78
2019M06,Camping de 1Ş,TOTAL,9023
2019M06,Camping de 1Ş,Residentes en Espańa,7892.26
2019M06,Camping de 1Ş,No residentes en Espańa,1130.74
2019M06,Camping de 2Ş y 3Ş,TOTAL,4218
2019M06,Camping de 2Ş y 3Ş,Residentes en Espańa,2490.95
2019M06,Camping de 2Ş y 3Ş,No residentes en Espańa,1727.05
2019M07,TOTAL,TOTAL,33733.48
2019M07,TOTAL,Residentes en Espańa,31147.81
2019M07,TOTAL,No residentes en Espańa,2585.67
2019M07,Camping de 1Ş,TOTAL,27241
2019M07,Camping de 1Ş,Residentes en Espańa,26097.65
2019M07,Camping de 1Ş,No residentes en Espańa,1143.35
2019M07,Camping de 2Ş y 3Ş,TOTAL,6492.48
2019M07,Camping de 2Ş y 3Ş,Residentes en Espańa,5050.16
2019M07,Camping de 2Ş y 3Ş,No residentes en Espańa,1442.32
2019M08,TOTAL,TOTAL,42750
2019M08,TOTAL,Residentes en Espańa,36711.34
2019M08,TOTAL,No residentes en Espańa,6038.66
2019M08,Camping de 1Ş,TOTAL,37722
2019M08,Camping de 1Ş,Residentes en Espańa,32915.14
2019M08,Camping de 1Ş,No residentes en Espańa,4806.86
2019M08,Camping de 2Ş y 3Ş,TOTAL,5028
2019M08,Camping de 2Ş y 3Ş,Residentes en Espańa,3796.2
2019M08,Camping de 2Ş y 3Ş,No residentes en Espańa,1231.8
2019M09,TOTAL,TOTAL,15355
2019M09,TOTAL,Residentes en Espańa,13256.63
2019M09,TOTAL,No residentes en Espańa,2098.37
2019M09,Camping de 1Ş,TOTAL,12126
2019M09,Camping de 1Ş,Residentes en Espańa,11153.61
2019M09,Camping de 1Ş,No residentes en Espańa,972.39
2019M09,Camping de 2Ş y 3Ş,TOTAL,
2019M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M10,TOTAL,TOTAL,7633
2019M10,TOTAL,Residentes en Espańa,5939.33
2019M10,TOTAL,No residentes en Espańa,1693.67
2019M10,Camping de 1Ş,TOTAL,5264
2019M10,Camping de 1Ş,Residentes en Espańa,4772.42
2019M10,Camping de 1Ş,No residentes en Espańa,491.58
2019M10,Camping de 2Ş y 3Ş,TOTAL,
2019M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M11,TOTAL,TOTAL,4142
2019M11,TOTAL,Residentes en Espańa,3784.03
2019M11,TOTAL,No residentes en Espańa,357.97
2019M11,Camping de 1Ş,TOTAL,3412
2019M11,Camping de 1Ş,Residentes en Espańa,3190.01
2019M11,Camping de 1Ş,No residentes en Espańa,221.99
2019M11,Camping de 2Ş y 3Ş,TOTAL,
2019M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2019M12,TOTAL,TOTAL,6329
2019M12,TOTAL,Residentes en Espańa,5932.56
2019M12,TOTAL,No residentes en Espańa,396.44
2019M12,Camping de 1Ş,TOTAL,6232
2019M12,Camping de 1Ş,Residentes en Espańa,5848.49
2019M12,Camping de 1Ş,No residentes en Espańa,383.51
2019M12,Camping de 2Ş y 3Ş,TOTAL,
2019M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2019M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M01,TOTAL,TOTAL,1708
2020M01,TOTAL,Residentes en Espańa,1496.46
2020M01,TOTAL,No residentes en Espańa,211.54
2020M01,Camping de 1Ş,TOTAL,1536
2020M01,Camping de 1Ş,Residentes en Espańa,1324.46
2020M01,Camping de 1Ş,No residentes en Espańa,211.54
2020M01,Camping de 2Ş y 3Ş,TOTAL,
2020M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M02,TOTAL,TOTAL,3029
2020M02,TOTAL,Residentes en Espańa,2454.76
2020M02,TOTAL,No residentes en Espańa,574.24
2020M02,Camping de 1Ş,TOTAL,2086
2020M02,Camping de 1Ş,Residentes en Espańa,1899.39
2020M02,Camping de 1Ş,No residentes en Espańa,186.61
2020M02,Camping de 2Ş y 3Ş,TOTAL,
2020M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M03,TOTAL,TOTAL,1364.64
2020M03,TOTAL,Residentes en Espańa,1364.64
2020M03,TOTAL,No residentes en Espańa,
2020M03,Camping de 1Ş,TOTAL,1052.64
2020M03,Camping de 1Ş,Residentes en Espańa,1052.64
2020M03,Camping de 1Ş,No residentes en Espańa,
2020M03,Camping de 2Ş y 3Ş,TOTAL,
2020M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M05,TOTAL,TOTAL,
2020M05,TOTAL,Residentes en Espańa,
2020M05,TOTAL,No residentes en Espańa,
2020M05,Camping de 1Ş,TOTAL,
2020M05,Camping de 1Ş,Residentes en Espańa,
2020M05,Camping de 1Ş,No residentes en Espańa,
2020M05,Camping de 2Ş y 3Ş,TOTAL,
2020M05,Camping de 2Ş y 3Ş,Residentes en Espańa,
2020M05,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M06,TOTAL,TOTAL,3181.54
2020M06,TOTAL,Residentes en Espańa,3163.85
2020M06,TOTAL,No residentes en Espańa,17.69
2020M06,Camping de 1Ş,TOTAL,2421.54
2020M06,Camping de 1Ş,Residentes en Espańa,2403.85
2020M06,Camping de 1Ş,No residentes en Espańa,17.69
2020M06,Camping de 2Ş y 3Ş,TOTAL,760
2020M06,Camping de 2Ş y 3Ş,Residentes en Espańa,760
2020M06,Camping de 2Ş y 3Ş,No residentes en Espańa,
2020M07,TOTAL,TOTAL,14090
2020M07,TOTAL,Residentes en Espańa,13650.08
2020M07,TOTAL,No residentes en Espańa,439.92
2020M07,Camping de 1Ş,TOTAL,10050
2020M07,Camping de 1Ş,Residentes en Espańa,9892.79
2020M07,Camping de 1Ş,No residentes en Espańa,157.21
